original_lang,lang,accuracy_gpt-5-mini,accuracy_meta-llama/Llama-3.3-70B-Instruct,accuracy_zai-org/GLM-4.7-Flash,accuracy_majority,overall_score,transfer_score
de,de,0.125,0.125,0.125,0.125,,
de,en,0.125,0.125,0.125,0.125,0.0625,0.25
de,es,0.125,0.125,0.1875,0.125,0.125,0.5
de,fr,0.25,0.25,0.1875,0.25,0.125,0.5
de,hi,0.0625,0.125,0.0625,0.0625,0.0625,0.25
de,id,0.1875,0.25,0.25,0.25,0.125,0.5
de,it,0.0625,0.0625,0.0625,0.0625,0.0625,0.25
de,ja,0.0625,0.0,0.0625,0.0625,0.0,0.0
de,zh,0.125,0.125,0.125,0.125,0.125,0.5
en,de,0.1282051282051282,0.10256410256410256,0.1794871794871795,0.1282051282051282,0.10256410256410256,0.25
en,en,0.23076923076923078,0.1794871794871795,0.28205128205128205,0.20512820512820512,,
en,es,0.15384615384615385,0.1282051282051282,0.1794871794871795,0.15384615384615385,0.1282051282051282,0.3125
en,fr,0.1794871794871795,0.15384615384615385,0.1794871794871795,0.1794871794871795,0.1282051282051282,0.3125
en,hi,0.10256410256410256,0.1282051282051282,0.1282051282051282,0.07692307692307693,0.07692307692307693,0.1875
en,id,0.15384615384615385,0.10256410256410256,0.1794871794871795,0.15384615384615385,0.10256410256410256,0.25
en,it,0.10256410256410256,0.1282051282051282,0.1794871794871795,0.1282051282051282,0.1282051282051282,0.3125
en,ja,0.15384615384615385,0.1282051282051282,0.15384615384615385,0.1282051282051282,0.1282051282051282,0.3125
en,zh,0.15384615384615385,0.1282051282051282,0.1794871794871795,0.1282051282051282,0.07692307692307693,0.1875
es,de,0.125,0.125,0.1875,0.125,0.0625,0.25
es,en,0.1875,0.15625,0.1875,0.1875,0.125,0.5
es,es,0.125,0.125,0.09375,0.125,,
es,fr,0.125,0.09375,0.15625,0.125,0.0625,0.25
es,hi,0.03125,0.09375,0.0625,0.0625,0.0,0.0
es,id,0.125,0.0625,0.09375,0.09375,0.0625,0.25
es,it,0.15625,0.15625,0.125,0.15625,0.0625,0.25
es,ja,0.09375,0.0625,0.0625,0.0625,0.0625,0.25
es,zh,0.09375,0.09375,0.125,0.09375,0.0625,0.25
fr,de,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.25
fr,en,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.25
fr,es,0.0,0.0,0.0,0.0,0.0,0.0
fr,fr,0.09090909090909091,0.09090909090909091,0.13636363636363635,0.09090909090909091,,
fr,hi,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0
fr,id,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.045454545454545456,0.0,0.0
fr,it,0.13636363636363635,0.13636363636363635,0.22727272727272727,0.18181818181818182,0.045454545454545456,0.25
fr,ja,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0
fr,zh,0.0,0.0,0.0,0.0,0.0,0.0
he,de,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,,
he,en,0.1724137931034483,0.13793103448275862,0.13793103448275862,0.13793103448275862,,
he,es,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,,
he,fr,0.06896551724137931,0.06896551724137931,0.06896551724137931,0.06896551724137931,,
he,hi,0.0,0.0,0.0,0.0,,
he,id,0.13793103448275862,0.10344827586206896,0.10344827586206896,0.10344827586206896,,
he,it,0.13793103448275862,0.13793103448275862,0.1724137931034483,0.13793103448275862,,
he,ja,0.13793103448275862,0.13793103448275862,0.13793103448275862,0.13793103448275862,,
he,zh,0.10344827586206896,0.06896551724137931,0.06896551724137931,0.10344827586206896,,
hi,de,0.140625,0.15625,0.1875,0.171875,0.015625,0.08333333333333333
hi,en,0.125,0.109375,0.15625,0.125,0.03125,0.16666666666666666
hi,es,0.15625,0.15625,0.1875,0.1875,0.03125,0.16666666666666666
hi,fr,0.15625,0.15625,0.171875,0.140625,0.046875,0.25
hi,hi,0.109375,0.09375,0.109375,0.09375,,
hi,id,0.125,0.140625,0.15625,0.125,0.03125,0.16666666666666666
hi,it,0.140625,0.140625,0.15625,0.125,0.015625,0.08333333333333333
hi,ja,0.078125,0.078125,0.109375,0.078125,0.015625,0.08333333333333333
hi,zh,0.109375,0.09375,0.1875,0.109375,0.015625,0.08333333333333333
id,de,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
id,en,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0
id,es,0.0967741935483871,0.06451612903225806,0.0967741935483871,0.0967741935483871,0.06451612903225806,0.25
id,fr,0.0967741935483871,0.0967741935483871,0.12903225806451613,0.12903225806451613,0.06451612903225806,0.25
id,hi,0.06451612903225806,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0
id,id,0.12903225806451613,0.06451612903225806,0.16129032258064516,0.12903225806451613,,
