original_lang,lang,accuracy_gpt-5-mini,accuracy_meta-llama/Llama-3.3-70B-Instruct,accuracy_zai-org/GLM-4.7-Flash,accuracy_majority,overall_score,transfer_score
de,de,0.0625,0.0625,0.0625,0.0625,,
de,en,0.0,0.0,0.0625,0.0,0.0,0.0
de,es,0.0,0.0,0.0,0.0,0.0,0.0
de,fr,0.0,0.0,0.0,0.0,0.0,0.0
de,hi,0.0,0.0,0.0,0.0,0.0,0.0
de,id,0.0,0.0625,0.0,0.0,0.0,0.0
de,it,0.0,0.0,0.0,0.0,0.0,0.0
de,ja,0.0,0.0,0.0,0.0,0.0,0.0
de,zh,0.0625,0.0,0.0625,0.0625,0.0,0.0
en,de,0.02564102564102564,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0
en,en,0.10256410256410256,0.07692307692307693,0.1794871794871795,0.07692307692307693,,
en,es,0.02564102564102564,0.0,0.05128205128205128,0.02564102564102564,0.0,0.0
en,fr,0.05128205128205128,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.16666666666666666
en,hi,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.0,0.0
en,id,0.07692307692307693,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.16666666666666666
en,it,0.10256410256410256,0.07692307692307693,0.10256410256410256,0.10256410256410256,0.05128205128205128,0.3333333333333333
en,ja,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.16666666666666666
en,zh,0.1282051282051282,0.07692307692307693,0.10256410256410256,0.10256410256410256,0.05128205128205128,0.3333333333333333
es,de,0.09375,0.0625,0.0625,0.0625,0.03125,0.5
es,en,0.0625,0.03125,0.0625,0.03125,0.0,0.0
es,es,0.03125,0.0,0.03125,0.03125,,
es,fr,0.09375,0.0,0.0,0.0,0.0,0.0
es,hi,0.0,0.0,0.03125,0.0,0.0,0.0
es,id,0.03125,0.03125,0.03125,0.03125,0.03125,0.5
es,it,0.03125,0.03125,0.03125,0.03125,0.03125,0.5
es,ja,0.0,0.0,0.03125,0.0,0.0,0.0
es,zh,0.0,0.0,0.0,0.0,0.0,0.0
fr,de,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.0
fr,en,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
fr,es,0.0,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.0,0.0
fr,fr,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.045454545454545456,,
fr,hi,0.0,0.0,0.0,0.0,0.0,0.0
fr,id,0.0,0.0,0.0,0.0,0.0,0.0
fr,it,0.0,0.0,0.0,0.0,0.0,0.0
fr,ja,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.0
fr,zh,0.0,0.0,0.045454545454545456,0.0,0.0,0.0
he,de,0.0,0.0,0.034482758620689655,0.0,,
he,en,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.10344827586206896,,
he,es,0.06896551724137931,0.06896551724137931,0.13793103448275862,0.06896551724137931,,
he,fr,0.034482758620689655,0.0,0.10344827586206896,0.034482758620689655,,
he,hi,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,,
he,id,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.06896551724137931,,
he,it,0.0,0.0,0.0,0.0,,
he,ja,0.0,0.0,0.0,0.0,,
he,zh,0.0,0.0,0.0,0.0,,
hi,de,0.0,0.015625,0.03125,0.015625,0.0,0.0
hi,en,0.0625,0.015625,0.0625,0.0625,0.0,0.0
hi,es,0.015625,0.03125,0.078125,0.03125,0.0,0.0
hi,fr,0.046875,0.03125,0.046875,0.03125,0.0,0.0
hi,hi,0.015625,0.0,0.046875,0.015625,,
hi,id,0.046875,0.03125,0.0625,0.03125,0.0,0.0
hi,it,0.046875,0.015625,0.078125,0.046875,0.015625,0.5
hi,ja,0.046875,0.015625,0.03125,0.046875,0.0,0.0
hi,zh,0.046875,0.03125,0.078125,0.046875,0.015625,0.5
id,de,0.03225806451612903,0.0,0.03225806451612903,0.0,0.0,0.0
id,en,0.03225806451612903,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.0,0.0
id,es,0.0,0.0,0.0,0.0,0.0,0.0
id,fr,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0
id,hi,0.0,0.0,0.0,0.0,0.0,0.0
id,id,0.03225806451612903,0.0,0.06451612903225806,0.03225806451612903,,
id,it,0.0,0.0,0.06451612903225806,0.0,0.0,0.0
id,ja,0.0,0.0,0.03225806451612903,0.0,0.0,0.0
id,zh,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.0,0.0
it,de,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.06896551724137931,0.034482758620689655,0.25
it,en,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.06896551724137931,0.0,0.0
it,es,0.10344827586206896,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0
it,fr,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.0
it,hi,0.0,0.0,0.0,0.0,0.0,0.0
it,id,0.06896551724137931,0.0,0.10344827586206896,0.034482758620689655,0.0,0.0
it,it,0.06896551724137931,0.06896551724137931,0.10344827586206896,0.06896551724137931,,
it,ja,0.06896551724137931,0.06896551724137931,0.1724137931034483,0.06896551724137931,0.0,0.0
it,zh,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.034482758620689655,0.0,0.0
ja,de,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0
ja,en,0.038461538461538464,0.0,0.07692307692307693,0.038461538461538464,0.0,0.0
ja,es,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
ja,fr,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0
ja,hi,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0
ja,id,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.0,0.0
ja,it,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.0,0.0
ja,ja,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,,
ja,zh,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.25
ko,de,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,,
ko,en,0.0,0.030303030303030304,0.030303030303030304,0.0,,
ko,es,0.030303030303030304,0.030303030303030304,0.06060606060606061,0.030303030303030304,,
ko,fr,0.06060606060606061,0.06060606060606061,0.06060606060606061,0.06060606060606061,,
ko,hi,0.09090909090909091,0.06060606060606061,0.09090909090909091,0.09090909090909091,,
ko,id,0.030303030303030304,0.030303030303030304,0.030303030303030304,0.030303030303030304,,
ko,it,0.0,0.06060606060606061,0.06060606060606061,0.06060606060606061,,
ko,ja,0.06060606060606061,0.030303030303030304,0.09090909090909091,0.06060606060606061,,
ko,zh,0.15151515151515152,0.06060606060606061,0.06060606060606061,0.09090909090909091,,
pt,de,0.0,0.0,0.0,0.0,,
pt,en,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,,
pt,es,0.0,0.03571428571428571,0.0,0.0,,
pt,fr,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,,
pt,hi,0.0,0.0,0.0,0.0,,
pt,id,0.0,0.0,0.07142857142857142,0.0,,
pt,it,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,,
pt,ja,0.0,0.0,0.0,0.0,,
pt,zh,0.03571428571428571,0.0,0.03571428571428571,0.03571428571428571,,
zh,de,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0
zh,en,0.02857142857142857,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.0,0.0
zh,es,0.05714285714285714,0.05714285714285714,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.125
zh,fr,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.0
zh,hi,0.0,0.0,0.0,0.0,0.0,0.0
zh,id,0.0,0.0,0.0,0.0,0.0,0.0
zh,it,0.02857142857142857,0.05714285714285714,0.02857142857142857,0.02857142857142857,0.0,0.0
zh,ja,0.0,0.0,0.0,0.0,0.0,0.0
zh,zh,0.14285714285714285,0.02857142857142857,0.11428571428571428,0.11428571428571428,,
