predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,accuracy_majority,0,pooled,,3240,0.0839,0.0,0.0662,0.0002,average_rankme,none
abs_diff,overall_score,0,pooled,,3240,0.0267,0.1282,0.0324,0.0651,average_rankme,none
abs_diff,transfer_score,0,pooled,,3240,-0.0114,0.517,0.0091,0.6041,average_rankme,none
abs_diff,transfer_score_str,0,pooled,,3240,-0.2556,0.0,-0.2892,0.0,average_rankme,none
abs_diff,overall_score_str,0,pooled,,3240,-0.196,0.0,-0.235,0.0,average_rankme,none
abs_diff,transfer_margin_str,0,pooled,,3240,-0.1953,0.0,-0.1628,0.0,average_rankme,none
abs_diff,overall_margin_str,0,pooled,,3240,-0.2525,0.0,-0.3068,0.0,average_rankme,none
signed_diff,accuracy_majority,0,pooled,,3240,-0.1824,0.0,-0.154,0.0,average_rankme,none
signed_diff,overall_score,0,pooled,,3240,0.014,0.426,0.0698,0.0001,average_rankme,none
signed_diff,transfer_score,0,pooled,,3240,0.0037,0.8312,0.0586,0.0009,average_rankme,none
signed_diff,transfer_score_str,0,pooled,,3240,0.0182,0.3009,0.0063,0.7212,average_rankme,none
signed_diff,overall_score_str,0,pooled,,3240,0.0942,0.0,0.0065,0.7122,average_rankme,none
signed_diff,transfer_margin_str,0,pooled,,3240,0.3538,0.0,0.3075,0.0,average_rankme,none
signed_diff,overall_margin_str,0,pooled,,3240,0.3251,0.0,0.3603,0.0,average_rankme,none
min_rankme,accuracy_majority,0,pooled,,3240,-0.0891,0.0,-0.0967,0.0,average_rankme,none
min_rankme,overall_score,0,pooled,,3240,0.0388,0.0272,0.0078,0.658,average_rankme,none
min_rankme,transfer_score,0,pooled,,3240,0.0507,0.0039,0.0069,0.6948,average_rankme,none
min_rankme,transfer_score_str,0,pooled,,3240,0.2839,0.0,0.2847,0.0,average_rankme,none
min_rankme,overall_score_str,0,pooled,,3240,0.2661,0.0,0.232,0.0,average_rankme,none
