predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse
abs_diff,accuracy_majority,0,pooled,,4176,-0.1604,0.0,-0.1644,0.0,average_rankme,none
abs_diff,overall_score,0,pooled,,4176,-0.0875,0.0,-0.134,0.0,average_rankme,none
abs_diff,transfer_score,0,pooled,,4176,-0.065,0.0,-0.0472,0.0023,average_rankme,none
abs_diff,transfer_score_str,0,pooled,,4176,-0.3028,0.0,-0.3105,0.0,average_rankme,none
abs_diff,overall_score_str,0,pooled,,4176,-0.2722,0.0,-0.2992,0.0,average_rankme,none
abs_diff,transfer_margin_str,0,pooled,,4176,-0.277,0.0,-0.2743,0.0,average_rankme,none
abs_diff,overall_margin_str,0,pooled,,4176,-0.4028,0.0,-0.4268,0.0,average_rankme,none
abs_diff,accuracy_gpt-5-mini,0,pooled,,4176,-0.1903,0.0,-0.1909,0.0,average_rankme,none
abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.1676,0.0,-0.1874,0.0,average_rankme,none
abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,-0.0943,0.0,-0.1065,0.0,average_rankme,none
signed_diff,accuracy_majority,0,pooled,,4176,-0.2078,0.0,-0.1924,0.0,average_rankme,none
signed_diff,overall_score,0,pooled,,4176,-0.0534,0.0006,-0.0037,0.8107,average_rankme,none
signed_diff,transfer_score,0,pooled,,4176,-0.0813,0.0,-0.0989,0.0,average_rankme,none
signed_diff,transfer_score_str,0,pooled,,4176,-0.1526,0.0,-0.1497,0.0,average_rankme,none
signed_diff,overall_score_str,0,pooled,,4176,-0.1763,0.0,-0.1403,0.0,average_rankme,none
signed_diff,transfer_margin_str,0,pooled,,4176,0.3527,0.0,0.3348,0.0,average_rankme,none
signed_diff,overall_margin_str,0,pooled,,4176,0.1478,0.0,0.1869,0.0,average_rankme,none
signed_diff,accuracy_gpt-5-mini,0,pooled,,4176,-0.1327,0.0,-0.0914,0.0,average_rankme,none
signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.2138,0.0,-0.1564,0.0,average_rankme,none
signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,-0.1477,0.0,-0.1191,0.0,average_rankme,none
min_rankme,accuracy_majority,0,pooled,,4176,0.1464,0.0,0.143,0.0,average_rankme,none
min_rankme,overall_score,0,pooled,,4176,0.074,0.0,0.1048,0.0,average_rankme,none
min_rankme,transfer_score,0,pooled,,4176,0.0419,0.0067,-0.0019,0.9028,average_rankme,none
min_rankme,transfer_score_str,0,pooled,,4176,0.1959,0.0,0.1851,0.0,average_rankme,none
min_rankme,overall_score_str,0,pooled,,4176,0.159,0.0,0.1689,0.0,average_rankme,none
min_rankme,transfer_margin_str,0,pooled,,4176,0.4058,0.0,0.4051,0.0,average_rankme,none
min_rankme,overall_margin_str,0,pooled,,4176,0.4253,0.0,0.409,0.0,average_rankme,none
min_rankme,accuracy_gpt-5-mini,0,pooled,,4176,0.1498,0.0,0.1649,0.0,average_rankme,none
min_rankme,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,0.1483,0.0,0.1603,0.0,average_rankme,none
min_rankme,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,0.119,0.0,0.1316,0.0,average_rankme,none
norm_asym,accuracy_majority,0,pooled,,4176,-0.2353,0.0,-0.2537,0.0,average_rankme,none
norm_asym,overall_score,0,pooled,,4176,-0.0583,0.0002,-0.0166,0.2821,average_rankme,none
norm_asym,transfer_score,0,pooled,,4176,-0.0883,0.0,-0.142,0.0,average_rankme,none
norm_asym,transfer_score_str,0,pooled,,4176,-0.1601,0.0,-0.1563,0.0,average_rankme,none
norm_asym,overall_score_str,0,pooled,,4176,-0.159,0.0,-0.1015,0.0,average_rankme,none
norm_asym,transfer_margin_str,0,pooled,,4176,0.3454,0.0,0.3281,0.0,average_rankme,none
norm_asym,overall_margin_str,0,pooled,,4176,0.1592,0.0,0.2317,0.0,average_rankme,none
norm_asym,accuracy_gpt-5-mini,0,pooled,,4176,-0.1558,0.0,-0.1463,0.0,average_rankme,none
norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.2318,0.0,-0.1935,0.0,average_rankme,none
norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,-0.1881,0.0,-0.2044,0.0,average_rankme,none
abs_ratio,accuracy_majority,0,pooled,,4176,-0.1728,0.0,-0.1259,0.0,average_rankme,none
abs_ratio,overall_score,0,pooled,,4176,-0.0919,0.0,-0.1498,0.0,average_rankme,none
abs_ratio,transfer_score,0,pooled,,4176,-0.062,0.0001,-0.0217,0.1616,average_rankme,none
abs_ratio,transfer_score_str,0,pooled,,4176,-0.3174,0.0,-0.3341,0.0,average_rankme,none
abs_ratio,overall_score_str,0,pooled,,4176,-0.2823,0.0,-0.3376,0.0,average_rankme,none
abs_ratio,transfer_margin_str,0,pooled,,4176,-0.3712,0.0,-0.3684,0.0,average_rankme,none
abs_ratio,overall_margin_str,0,pooled,,4176,-0.4857,0.0,-0.5367,0.0,average_rankme,none
abs_ratio,accuracy_gpt-5-mini,0,pooled,,4176,-0.1968,0.0,-0.1468,0.0,average_rankme,none
abs_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.1794,0.0,-0.2107,0.0,average_rankme,none
abs_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,-0.1175,0.0,-0.1384,0.0,average_rankme,none
signed_ratio,accuracy_majority,0,pooled,,4176,-0.2353,0.0,-0.2926,0.0,average_rankme,none
signed_ratio,overall_score,0,pooled,,4176,-0.0583,0.0002,-0.1276,0.0,average_rankme,none
signed_ratio,transfer_score,0,pooled,,4176,-0.0883,0.0,-0.1364,0.0,average_rankme,none
signed_ratio,transfer_score_str,0,pooled,,4176,-0.1601,0.0,-0.3204,0.0,average_rankme,none
signed_ratio,overall_score_str,0,pooled,,4176,-0.159,0.0,-0.2587,0.0,average_rankme,none
signed_ratio,transfer_margin_str,0,pooled,,4176,0.3454,0.0,0.0064,0.6779,average_rankme,none
signed_ratio,overall_margin_str,0,pooled,,4176,0.1592,0.0,-0.1511,0.0,average_rankme,none
signed_ratio,accuracy_gpt-5-mini,0,pooled,,4176,-0.1558,0.0,-0.218,0.0,average_rankme,none
signed_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.2318,0.0,-0.2756,0.0,average_rankme,none
signed_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,-0.1881,0.0,-0.2672,0.0,average_rankme,none
max_rankme,accuracy_majority,0,pooled,,4176,-0.0109,0.4804,0.0001,0.9949,average_rankme,none
max_rankme,overall_score,0,pooled,,4176,-0.0486,0.0017,-0.0126,0.4158,average_rankme,none
max_rankme,transfer_score,0,pooled,,4176,-0.0615,0.0001,-0.0464,0.0027,average_rankme,none
max_rankme,transfer_score_str,0,pooled,,4176,-0.1403,0.0,-0.0916,0.0,average_rankme,none
max_rankme,overall_score_str,0,pooled,,4176,-0.1824,0.0,-0.0986,0.0,average_rankme,none
max_rankme,transfer_margin_str,0,pooled,,4176,0.2263,0.0,0.1798,0.0,average_rankme,none
max_rankme,overall_margin_str,0,pooled,,4176,0.0196,0.2052,0.0409,0.0082,average_rankme,none
max_rankme,accuracy_gpt-5-mini,0,pooled,,4176,-0.0212,0.1717,-0.0011,0.9433,average_rankme,none
max_rankme,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.0225,0.1466,-0.0028,0.856,average_rankme,none
max_rankme,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,0.0192,0.2153,0.0421,0.0065,average_rankme,none
log_ratio,accuracy_majority,0,pooled,,4176,-0.2353,0.0,-0.2746,0.0,average_rankme,none
log_ratio,overall_score,0,pooled,,4176,-0.0583,0.0002,-0.0307,0.0471,average_rankme,none
log_ratio,transfer_score,0,pooled,,4176,-0.0883,0.0,-0.1568,0.0,average_rankme,none
log_ratio,transfer_score_str,0,pooled,,4176,-0.1601,0.0,-0.1577,0.0,average_rankme,none
log_ratio,overall_score_str,0,pooled,,4176,-0.159,0.0,-0.087,0.0,average_rankme,none
log_ratio,transfer_margin_str,0,pooled,,4176,0.3454,0.0,0.3229,0.0,average_rankme,none
log_ratio,overall_margin_str,0,pooled,,4176,0.1592,0.0,0.2396,0.0,average_rankme,none
log_ratio,accuracy_gpt-5-mini,0,pooled,,4176,-0.1558,0.0,-0.1638,0.0,average_rankme,none
log_ratio,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,4176,-0.2318,0.0,-0.1989,0.0,average_rankme,none
log_ratio,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,4176,-0.1881,0.0,-0.228,0.0,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,10B,72,-0.1886,0.1928,-0.2065,0.1718,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,21B,72,-0.1758,0.2168,-0.1944,0.1938,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,31B,72,-0.1717,0.2078,-0.198,0.1808,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,42B,72,-0.1728,0.1918,-0.1895,0.1828,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,52B,72,-0.1719,0.2128,-0.1947,0.1908,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,63B,72,-0.174,0.1978,-0.1899,0.1938,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,73B,72,-0.1396,0.3337,-0.1588,0.2997,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,84B,72,-0.1596,0.2448,-0.1896,0.1878,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,94B,72,-0.0486,0.6354,-0.0542,0.6543,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,105B,72,-0.1933,0.1598,-0.1888,0.2008,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,115B,72,-0.1704,0.2048,-0.1933,0.1848,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,126B,72,-0.1759,0.2018,-0.1928,0.1858,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,136B,72,-0.1774,0.1868,-0.1975,0.1698,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,147B,72,-0.1653,0.2378,-0.1792,0.2208,average_rankme,none
abs_diff,accuracy_majority,0,per_ckpt,157B,72,-0.1596,0.2647,-0.1882,0.2038,average_rankme,none
