predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
alpha_abs_diff,accuracy_majority,0,pooled,,72,0.0437,0.7157,0.0218,0.8556,layer_29
alpha_abs_diff,overall_score,0,pooled,,72,-0.0849,0.4783,-0.11,0.3575,layer_29
alpha_abs_diff,transfer_score,0,pooled,,72,-0.0792,0.5086,-0.0888,0.4582,layer_29
alpha_abs_diff,transfer_score_str,0,pooled,,72,-0.191,0.108,-0.1481,0.2143,layer_29
alpha_abs_diff,overall_score_str,0,pooled,,72,-0.0445,0.7104,-0.011,0.9268,layer_29
alpha_abs_diff,transfer_margin_str,0,pooled,,72,-0.2937,0.0123,-0.2775,0.0183,layer_29
alpha_abs_diff,overall_margin_str,0,pooled,,72,-0.1838,0.1222,-0.102,0.3937,layer_29
alpha_abs_diff,accuracy_gpt-5-mini,0,pooled,,72,0.0445,0.7103,0.0049,0.9673,layer_29
alpha_abs_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0226,0.8503,-0.0045,0.9703,layer_29
alpha_abs_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.0104,0.9307,0.0193,0.8718,layer_29
alpha_signed_diff,accuracy_majority,0,pooled,,72,-0.1789,0.1326,-0.1481,0.2143,layer_29
alpha_signed_diff,overall_score,0,pooled,,72,-0.1068,0.372,-0.084,0.4828,layer_29
alpha_signed_diff,transfer_score,0,pooled,,72,-0.1272,0.2868,-0.1639,0.1689,layer_29
alpha_signed_diff,transfer_score_str,0,pooled,,72,-0.4531,0.0001,-0.4506,0.0001,layer_29
alpha_signed_diff,overall_score_str,0,pooled,,72,-0.0995,0.4057,-0.049,0.6828,layer_29
alpha_signed_diff,transfer_margin_str,0,pooled,,72,-0.2166,0.0676,-0.2545,0.031,layer_29
alpha_signed_diff,overall_margin_str,0,pooled,,72,-0.0013,0.9917,-0.0066,0.9564,layer_29
alpha_signed_diff,accuracy_gpt-5-mini,0,pooled,,72,-0.1464,0.2197,-0.1356,0.256,layer_29
alpha_signed_diff,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.097,0.4176,-0.0535,0.6552,layer_29
alpha_signed_diff,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.2704,0.0216,-0.2126,0.073,layer_29
alpha_min,accuracy_majority,0,pooled,,72,0.1273,0.2865,0.1493,0.2106,layer_29
alpha_min,overall_score,0,pooled,,72,0.1092,0.3612,0.213,0.0724,layer_29
alpha_min,transfer_score,0,pooled,,72,0.0628,0.6002,0.0282,0.8141,layer_29
alpha_min,transfer_score_str,0,pooled,,72,0.2941,0.0122,0.283,0.016,layer_29
alpha_min,overall_score_str,0,pooled,,72,0.388,0.0008,0.4327,0.0001,layer_29
alpha_min,transfer_margin_str,0,pooled,,72,0.2707,0.0214,0.2527,0.0322,layer_29
alpha_min,overall_margin_str,0,pooled,,72,0.6561,0.0,0.586,0.0,layer_29
alpha_min,accuracy_gpt-5-mini,0,pooled,,72,0.1132,0.3436,0.1383,0.2466,layer_29
alpha_min,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.061,0.611,0.1095,0.3599,layer_29
alpha_min,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.1391,0.244,0.1586,0.1832,layer_29
alpha_max,accuracy_majority,0,pooled,,72,0.0874,0.4655,0.1063,0.3743,layer_29
alpha_max,overall_score,0,pooled,,72,0.0189,0.8748,0.0238,0.8429,layer_29
alpha_max,transfer_score,0,pooled,,72,-0.0088,0.9413,-0.0641,0.5929,layer_29
alpha_max,transfer_score_str,0,pooled,,72,0.0384,0.7487,0.0298,0.8035,layer_29
alpha_max,overall_score_str,0,pooled,,72,0.2319,0.05,0.2407,0.0417,layer_29
alpha_max,transfer_margin_str,0,pooled,,72,-0.1094,0.3601,-0.1049,0.3805,layer_29
alpha_max,overall_margin_str,0,pooled,,72,0.2548,0.0308,0.2471,0.0364,layer_29
alpha_max,accuracy_gpt-5-mini,0,pooled,,72,0.0638,0.5942,0.0846,0.4799,layer_29
alpha_max,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,0.0866,0.4697,0.0594,0.6202,layer_29
alpha_max,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,0.0212,0.8599,0.1094,0.3602,layer_29
alpha_norm_asym,accuracy_majority,0,pooled,,72,-0.2179,0.066,-0.2062,0.0823,layer_29
alpha_norm_asym,overall_score,0,pooled,,72,-0.0467,0.6968,-0.0367,0.7594,layer_29
alpha_norm_asym,transfer_score,0,pooled,,72,-0.0761,0.5251,-0.1416,0.2356,layer_29
alpha_norm_asym,transfer_score_str,0,pooled,,72,-0.4072,0.0004,-0.3973,0.0005,layer_29
alpha_norm_asym,overall_score_str,0,pooled,,72,-0.0817,0.4949,-0.0403,0.7367,layer_29
alpha_norm_asym,transfer_margin_str,0,pooled,,72,-0.0771,0.5199,-0.0811,0.4982,layer_29
alpha_norm_asym,overall_margin_str,0,pooled,,72,0.0779,0.5157,0.101,0.3985,layer_29
alpha_norm_asym,accuracy_gpt-5-mini,0,pooled,,72,-0.1732,0.1457,-0.1611,0.1763,layer_29
alpha_norm_asym,accuracy_meta-llama/Llama-3.3-70B-Instruct,0,pooled,,72,-0.1307,0.2737,-0.1032,0.3883,layer_29
alpha_norm_asym,accuracy_zai-org/GLM-4.7-Flash,0,pooled,,72,-0.319,0.0063,-0.2708,0.0214,layer_29
alpha_abs_ratio,accuracy_majority,0,pooled,,72,-0.097,0.4176,-0.1027,0.3904,layer_29
alpha_abs_ratio,overall_score,0,pooled,,72,-0.1652,0.1656,-0.1367,0.252,layer_29
alpha_abs_ratio,transfer_score,0,pooled,,72,-0.1327,0.2666,0.0317,0.7918,layer_29
alpha_abs_ratio,transfer_score_str,0,pooled,,72,-0.3669,0.0015,-0.2552,0.0305,layer_29
alpha_abs_ratio,overall_score_str,0,pooled,,72,-0.3012,0.0101,-0.2418,0.0407,layer_29
alpha_abs_ratio,transfer_margin_str,0,pooled,,72,-0.3978,0.0005,-0.4125,0.0003,layer_29
alpha_abs_ratio,overall_margin_str,0,pooled,,72,-0.5475,0.0,-0.4351,0.0001,layer_29
alpha_abs_ratio,accuracy_gpt-5-mini,0,pooled,,72,-0.0994,0.4061,-0.1084,0.3649,layer_29
