layer,aggregation,language,r2,sse,gamma,lam2,lam3_decay,lam3_growth,alpha,A,C2,C3_decay,C3_growth,t_change,t_change2
layer_31,last,Arabic,0.918632138366222,76.59686161956122,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,3.661004186120435,13701107897.650076,8.25556073520285,0.0,0.021030418436508894,630.0,7652.0
layer_31,last,Chinese,0.953992998211178,242.25408691797975,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,11.975524161796262,71297040680.95181,25.31040469799178,-10.94422683186796,6.3966648211582064e-24,630.0,7652.0
layer_31,last,English,0.9871046574339769,283.00868653687445,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,24.373975970306827,142218648597.78436,19.656386780593536,-33.972941879343125,2.0358922241943873e-26,630.0,7652.0
layer_31,last,Finnish,0.9431694581852835,356.43249517194135,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,16.74154574559191,78607905427.06332,16.221881529743893,-8.67278324921762,0.0,630.0,7652.0
layer_31,last,French,0.9315935682342478,639.4221468555965,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,13.83275816719357,84180058215.96301,48.98494065471948,-39.998221465005116,2.9402676094887223e-24,630.0,7652.0
layer_31,last,German,0.9668799535563258,401.5185738450033,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,20.879336406551907,107010226500.89024,33.314926807150414,-33.62587884884628,1.5649590399211505e-16,630.0,7652.0
layer_31,last,Hindi,0.8599323476254483,194.12353738214955,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,1.0574408101746424,12532877001.45519,25.598029756166476,-14.523007566034108,1.2054768033364988e-16,630.0,7652.0
layer_31,last,Indonesian,0.8985314738143764,442.59119696378855,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,12.16547876155302,46194636030.96187,41.447249225103235,-25.005588410622074,0.0,630.0,7652.0
layer_31,last,Italian,0.9480269683468849,208.13024721918526,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,12.82367210611844,61316341305.272484,24.315851025374272,-13.810482511782588,5.013498637933017e-16,630.0,7652.0
layer_31,last,Japanese,0.9528305085073946,437.5352570598195,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,12.050442876279494,91700105150.97954,40.687605141101066,-18.63271260854872,9.543349940292638e-22,630.0,7652.0
layer_31,last,Spanish,0.9576184320589811,341.0087498053024,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,19.634799691725124,85529755267.2075,26.237975769686287,-29.950417363893035,1.2942821657153278e-15,630.0,7652.0
layer_31,last,Swahili,0.9225480230785111,73.36810323205664,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,4.657376123742069,14072782057.401209,6.191797473337547,0.0,0.0235039462164119,630.0,7652.0
layer_31,last,Turkish,0.9848407235766441,47.42184489818245,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,7.6546086082972185,54885464037.65024,3.7993789568322067,0.0,0.009132789295184046,630.0,7652.0
layer_31,last,Vietnamese,0.6795335841823225,218.2340808047544,3.8645720988681322,4930.445878675375,7347.999999743899,1126.767901105421,8.685017639493896,12209265672.017109,8.780106123891088,0.0,0.0099972496360127,630.0,7652.0
