layer,aggregation,language,r2,sse,gamma,lam2,lam3,alpha,A,C2,C3,t_change,t_change2
layer_31,last,Arabic,0.7339282168142227,250.47067906587927,3.8601346764518105,4895.13749850717,7347.999999993933,4.235159271022864,12824079567.580067,5.789023932968843,11.891559165249943,630.0,7652.0
layer_31,last,Chinese,0.954015450066096,242.1358646169971,3.8601346764518105,4895.13749850717,7347.999999993933,11.952367019512431,69646902536.23488,25.23942463214586,-10.924494927397872,630.0,7652.0
layer_31,last,English,0.9871032031784528,283.0406024742509,3.8601346764518105,4895.13749850717,7347.999999993933,24.34916779848912,138906740570.99582,19.600813151807273,-33.956301834836424,630.0,7652.0
layer_31,last,Finnish,0.9432110010047737,356.1719449407709,3.8601346764518105,4895.13749850717,7347.999999993933,16.721866975743044,76782750771.37984,16.181535942618652,-8.66350602485018,630.0,7652.0
layer_31,last,French,0.931506582211884,640.235239831368,3.8601346764518105,4895.13749850717,7347.999999993933,13.796128056369039,82240782657.62071,48.83852367534558,-39.95408589062461,630.0,7652.0
layer_31,last,German,0.9669073427873639,401.1865306818445,3.8601346764518105,4895.13749850717,7347.999999993933,20.846915721402173,104530925104.34393,33.223607496813614,-33.60131452878946,630.0,7652.0
layer_31,last,Hindi,0.8594993391162249,194.72365555434703,3.8601346764518105,4895.13749850717,7347.999999993933,1.043044286569145,12253110291.064102,25.516291384100914,-14.496489457547598,630.0,7652.0
layer_31,last,Indonesian,0.898424612070299,443.0573126057399,3.8601346764518105,4895.13749850717,7347.999999993933,12.136506133080816,45138974607.44886,41.323359438676,-24.96852389049309,630.0,7652.0
layer_31,last,Italian,0.9480734617439103,207.94406061607262,3.8601346764518105,4895.13749850717,7347.999999993933,12.801567600792684,59899025310.65982,24.248721093384574,-13.792397695038025,630.0,7652.0
layer_31,last,Japanese,0.9528472213491893,437.38023190904005,3.8601346764518105,4895.13749850717,7347.999999993933,12.015818660907048,89582414661.17795,40.57172941959461,-18.599966226331503,630.0,7652.0
layer_31,last,Spanish,0.9576791098785192,340.5205265425291,3.8601346764518105,4895.13749850717,7347.999999993933,19.607804265870215,83549120619.91629,26.169254928155283,-29.933375512992896,630.0,7652.0
layer_31,last,Swahili,0.6105295145140575,368.93455687951433,3.8601346764518105,4895.13749850717,7347.999999993933,4.984622411002632,13425805332.266039,4.771829681466644,10.834924335226722,630.0,7652.0
layer_31,last,Turkish,0.964718047716949,110.37039118134425,3.8601346764518105,4895.13749850717,7347.999999993933,7.489004086721422,53758085150.75849,4.4526674035389275,1.9765161612943978,630.0,7652.0
layer_31,last,Vietnamese,0.5893792045733439,279.62821508334247,3.8601346764518105,4895.13749850717,7347.999999993933,8.725127307669107,11883966387.928753,8.552354580603,3.889846341537788,630.0,7652.0
