layer,aggregation,language,r2,sse,gamma,C2,lam2,C3,lam3,alpha,beta,t_change,t_change2
layer_31,last,Arabic,0.10090537647373632,846.3762605817801,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,8.024151279504077,4904803480.868918,630.0,7652.0
layer_31,last,Chinese,0.9141097080273275,452.2632088147475,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,14.291380316137877,34914688542.78424,630.0,7652.0
layer_31,last,English,0.9009220321983628,2174.42269476146,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,10.51966614614978,70764015055.37181,630.0,7652.0
layer_31,last,Finnish,0.9118223182837861,553.0369781631857,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,13.875040733983178,38057326614.78758,630.0,7652.0
layer_31,last,French,0.8299932352536294,1589.120901179975,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,21.1465453111431,44326972080.01375,630.0,7652.0
layer_31,last,German,0.9599503400445709,485.5271678325971,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,18.496228753354274,54289664297.500435,630.0,7652.0
layer_31,last,Hindi,0.1664681597686798,1155.2142597040831,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,9.99160236847766,7644008900.603088,630.0,7652.0
layer_31,last,Indonesian,0.5549040931774838,1941.4446781643635,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,23.163008680034057,24758828702.93999,630.0,7652.0
layer_31,last,Italian,0.9195096961457561,322.32999128745354,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,15.26674901353043,30538109828.664608,630.0,7652.0
layer_31,last,Japanese,0.879854801803585,1114.4440720886782,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,18.362596969430665,45463917579.37219,630.0,7652.0
layer_31,last,Spanish,0.939270374658778,488.6401003987165,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,16.90903935240635,43749690493.48357,630.0,7652.0
layer_31,last,Swahili,0.11807781255739824,835.4203554612923,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,7.950237528199796,5322393289.6925535,630.0,7652.0
layer_31,last,Turkish,0.8334689239968089,520.9490635571198,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,3.5011718544915773,25696863284.153057,630.0,7652.0
layer_31,last,Vietnamese,0.16818200607418554,566.4588435517471,3.7341453300483347,6.048151385252838e-10,4261.160714217731,-5.092089042424699e-10,7347.999997347624,12.47640537445411,5385737855.408167,630.0,7652.0
