layer,aggregation,language,r2,sse,gamma,C,lam,alpha,beta,t_change
layer_29,last,Arabic,0.9420309891394953,1638.8939485906324,0.7384924078894994,0.07154246170365162,115.71929422818418,8.109236977211971,728.2741675925744,241.0
layer_29,last,Chinese,0.6887229187054168,15500.82673566657,0.7384924078894994,0.07154246170365162,115.71929422818418,101.65983401520047,826.4392893567473,241.0
layer_29,last,English,0.929110836756135,4772.645956909728,0.7384924078894994,0.07154246170365162,115.71929422818418,42.171226386585005,1116.113283567171,241.0
layer_29,last,Finnish,0.9184762205613183,1985.2608260823067,0.7384924078894994,0.07154246170365162,115.71929422818418,9.592564892284084,667.3988009978235,241.0
layer_29,last,French,0.9606683150572353,2533.5635490986133,0.7384924078894994,0.07154246170365162,115.71929422818418,33.24757706211983,1110.1104439474718,241.0
layer_29,last,German,0.9686729787798496,3492.1085646759575,0.7384924078894994,0.07154246170365162,115.71929422818418,46.907657647100166,1466.4178560346293,241.0
layer_29,last,Hindi,0.9401384999601398,1508.0268186510586,0.7384924078894994,0.07154246170365162,115.71929422818418,4.546731412248384,686.7702655586786,241.0
layer_29,last,Indonesian,0.889446154116493,1740.9395625143443,0.7384924078894994,0.07154246170365162,115.71929422818418,10.981372833843514,528.1406314781577,241.0
layer_29,last,Italian,0.9563021306479731,3468.0667998095646,0.7384924078894994,0.07154246170365162,115.71929422818418,27.281605535582006,1229.407866244757,241.0
layer_29,last,Japanese,0.8914684576511216,10475.568938761995,0.7384924078894994,0.07154246170365162,115.71929422818418,86.69963637134617,1309.0271155018233,241.0
layer_29,last,Spanish,0.9304507757406608,4478.03997008407,0.7384924078894994,0.07154246170365162,115.71929422818418,27.585097147143905,1092.268398101427,241.0
layer_29,last,Swahili,0.8818019324865527,668.003185686495,0.7384924078894994,0.07154246170365162,115.71929422818418,7.785369581342396,315.0318269044223,241.0
layer_29,last,Turkish,0.9304171006320302,1494.5886116191655,0.7384924078894994,0.07154246170365162,115.71929422818418,13.471011672774054,630.8603690935422,241.0
layer_29,last,Vietnamese,0.9351049883712241,660.8638499853207,0.7384924078894994,0.07154246170365162,115.71929422818418,12.463800983828268,435.4771354396117,241.0
