predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
abs_diff,row_norm,4,pooled,,1800,0.1263,0.0,0.1207,0.0,layer_0
abs_diff,row_norm,8,pooled,,1800,0.0228,0.3343,-0.0004,0.9865,layer_0
abs_diff,col_norm,4,pooled,,1800,0.0883,0.0002,0.0846,0.0003,layer_0
abs_diff,col_norm,8,pooled,,1800,0.0179,0.449,-0.0033,0.8896,layer_0
signed_diff,row_norm,4,pooled,,1800,-0.1063,0.0,-0.1184,0.0,layer_0
signed_diff,row_norm,8,pooled,,1800,-0.0371,0.1153,-0.0573,0.0151,layer_0
signed_diff,col_norm,4,pooled,,1800,-0.1434,0.0,-0.1541,0.0,layer_0
signed_diff,col_norm,8,pooled,,1800,-0.1206,0.0,-0.1096,0.0,layer_0
min_rankme,row_norm,4,pooled,,1800,0.0693,0.0033,0.0389,0.0988,layer_0
min_rankme,row_norm,8,pooled,,1800,0.0657,0.0053,0.0757,0.0013,layer_0
min_rankme,col_norm,4,pooled,,1800,0.0421,0.0738,0.0265,0.2604,layer_0
min_rankme,col_norm,8,pooled,,1800,0.0447,0.0578,0.0615,0.009,layer_0
norm_asym,row_norm,4,pooled,,1800,-0.1514,0.0,-0.1633,0.0,layer_0
norm_asym,row_norm,8,pooled,,1800,-0.0579,0.014,-0.0751,0.0014,layer_0
norm_asym,col_norm,4,pooled,,1800,-0.1455,0.0,-0.1413,0.0,layer_0
norm_asym,col_norm,8,pooled,,1800,-0.1643,0.0,-0.1606,0.0,layer_0
abs_diff,row_norm,4,per_ckpt,10B,90,0.1565,0.1149,0.1506,0.1618,layer_0
abs_diff,row_norm,4,per_ckpt,42B,90,0.2366,0.046,0.1993,0.1419,layer_0
abs_diff,row_norm,4,per_ckpt,73B,90,0.0595,0.5524,0.1,0.2877,layer_0
abs_diff,row_norm,4,per_ckpt,105B,90,0.2047,0.0939,0.2825,0.041,layer_0
abs_diff,row_norm,4,per_ckpt,136B,90,0.1666,0.1598,0.18,0.1588,layer_0
abs_diff,row_norm,4,per_ckpt,168B,90,0.0686,0.5165,0.1712,0.1508,layer_0
abs_diff,row_norm,4,per_ckpt,199B,90,-0.0499,0.6673,-0.0608,0.6284,layer_0
abs_diff,row_norm,4,per_ckpt,231B,90,-0.0038,0.986,-0.0188,0.8801,layer_0
abs_diff,row_norm,4,per_ckpt,262B,90,0.0537,0.6693,0.0739,0.5894,layer_0
abs_diff,row_norm,4,per_ckpt,294B,90,-0.0648,0.6124,-0.0844,0.5355,layer_0
abs_diff,row_norm,4,per_ckpt,325B,90,0.0371,0.7682,0.0869,0.5684,layer_0
abs_diff,row_norm,4,per_ckpt,352B,90,-0.031,0.7862,-0.0835,0.5035,layer_0
abs_diff,row_norm,4,per_ckpt,384B,90,0.0797,0.4296,0.1207,0.2677,layer_0
abs_diff,row_norm,4,per_ckpt,415B,90,0.1897,0.0709,0.2366,0.021,layer_0
abs_diff,row_norm,4,per_ckpt,447B,90,0.0959,0.4206,0.0755,0.5744,layer_0
