predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer_collapse,ckpt_collapse,t
rankme_src,row_norm,4,pooled,,1440,-0.4545,0.0,-0.4529,0.0,average_rankme,none,0
rankme_src,row_norm,8,pooled,,1440,-0.3799,0.0,-0.3917,0.0,average_rankme,none,0
rankme_src,row_norm,16,pooled,,1440,-0.3655,0.0,-0.3593,0.0,average_rankme,none,0
rankme_src,col_norm,4,pooled,,1440,0.0838,0.0015,0.0928,0.0004,average_rankme,none,0
rankme_src,col_norm,8,pooled,,1440,0.1471,0.0,0.1754,0.0,average_rankme,none,0
rankme_src,col_norm,16,pooled,,1440,0.1452,0.0,0.1825,0.0,average_rankme,none,0
rankme_tgt,row_norm,4,pooled,,1440,0.3651,0.0,0.3795,0.0,average_rankme,none,0
rankme_tgt,row_norm,8,pooled,,1440,0.3492,0.0,0.3678,0.0,average_rankme,none,0
rankme_tgt,row_norm,16,pooled,,1440,0.3474,0.0,0.3675,0.0,average_rankme,none,0
rankme_tgt,col_norm,4,pooled,,1440,-0.1719,0.0,-0.1789,0.0,average_rankme,none,0
rankme_tgt,col_norm,8,pooled,,1440,-0.1665,0.0,-0.1981,0.0,average_rankme,none,0
rankme_tgt,col_norm,16,pooled,,1440,-0.1555,0.0,-0.1652,0.0,average_rankme,none,0
abs_diff,row_norm,4,pooled,,1440,0.0003,0.9918,-0.0188,0.4759,average_rankme,none,0
abs_diff,row_norm,8,pooled,,1440,0.002,0.9381,-0.0175,0.5064,average_rankme,none,0
abs_diff,row_norm,16,pooled,,1440,-0.0192,0.4663,-0.0224,0.395,average_rankme,none,0
abs_diff,col_norm,4,pooled,,1440,-0.0451,0.0874,-0.0438,0.0965,average_rankme,none,0
abs_diff,col_norm,8,pooled,,1440,-0.0273,0.3005,-0.0367,0.1635,average_rankme,none,0
abs_diff,col_norm,16,pooled,,1440,-0.0342,0.1944,-0.0378,0.1518,average_rankme,none,0
signed_diff,row_norm,4,pooled,,1440,-0.5765,0.0,-0.5824,0.0,average_rankme,none,0
signed_diff,row_norm,8,pooled,,1440,-0.5113,0.0,-0.5314,0.0,average_rankme,none,0
signed_diff,row_norm,16,pooled,,1440,-0.4967,0.0,-0.5085,0.0,average_rankme,none,0
signed_diff,col_norm,4,pooled,,1440,0.1849,0.0,0.1901,0.0,average_rankme,none,0
signed_diff,col_norm,8,pooled,,1440,0.2338,0.0,0.2614,0.0,average_rankme,none,0
signed_diff,col_norm,16,pooled,,1440,0.2306,0.0,0.2433,0.0,average_rankme,none,0
min_rankme,row_norm,4,pooled,,1440,-0.0684,0.0094,-0.0396,0.1331,average_rankme,none,0
min_rankme,row_norm,8,pooled,,1440,-0.0227,0.3892,-0.0067,0.799,average_rankme,none,0
min_rankme,row_norm,16,pooled,,1440,-0.0141,0.5931,0.0176,0.5043,average_rankme,none,0
min_rankme,col_norm,4,pooled,,1440,-0.0483,0.0671,-0.0347,0.1879,average_rankme,none,0
min_rankme,col_norm,8,pooled,,1440,0.0021,0.9359,0.0044,0.8668,average_rankme,none,0
min_rankme,col_norm,16,pooled,,1440,0.0002,0.9949,0.0321,0.2236,average_rankme,none,0
norm_asym,row_norm,4,pooled,,1440,-0.5793,0.0,-0.5878,0.0,average_rankme,none,0
norm_asym,row_norm,8,pooled,,1440,-0.5132,0.0,-0.5327,0.0,average_rankme,none,0
norm_asym,row_norm,16,pooled,,1440,-0.5062,0.0,-0.5242,0.0,average_rankme,none,0
norm_asym,col_norm,4,pooled,,1440,0.1937,0.0,0.2054,0.0,average_rankme,none,0
norm_asym,col_norm,8,pooled,,1440,0.2098,0.0,0.2322,0.0,average_rankme,none,0
norm_asym,col_norm,16,pooled,,1440,0.2084,0.0,0.2212,0.0,average_rankme,none,0
abs_ratio,row_norm,4,pooled,,1440,0.033,0.2107,0.0094,0.7209,average_rankme,none,0
abs_ratio,row_norm,8,pooled,,1440,0.0061,0.8183,-0.0083,0.7526,average_rankme,none,0
abs_ratio,row_norm,16,pooled,,1440,-0.0087,0.742,-0.0061,0.8161,average_rankme,none,0
abs_ratio,col_norm,4,pooled,,1440,-0.0098,0.7113,-0.0152,0.5633,average_rankme,none,0
abs_ratio,col_norm,8,pooled,,1440,-0.029,0.2711,-0.0341,0.1955,average_rankme,none,0
abs_ratio,col_norm,16,pooled,,1440,-0.0282,0.2852,-0.0302,0.2514,average_rankme,none,0
signed_ratio,row_norm,4,pooled,,1440,-0.5793,0.0,-0.5184,0.0,average_rankme,none,0
signed_ratio,row_norm,8,pooled,,1440,-0.5132,0.0,-0.481,0.0,average_rankme,none,0
signed_ratio,row_norm,16,pooled,,1440,-0.5062,0.0,-0.4767,0.0,average_rankme,none,0
