predictor,normalization,k,scope,checkpoint,n,spearman_r,spearman_p,pearson_r,pearson_p,layer
alpha_abs_diff,row_norm,4,pooled,,1440,0.0167,0.5255,0.0013,0.9612,layer_31
alpha_abs_diff,row_norm,8,pooled,,1440,0.0285,0.2792,0.0129,0.6248,layer_31
alpha_abs_diff,row_norm,16,pooled,,1440,-0.0036,0.8908,-0.0057,0.8277,layer_31
alpha_abs_diff,col_norm,4,pooled,,1440,-0.0186,0.4808,-0.009,0.7319,layer_31
alpha_abs_diff,col_norm,8,pooled,,1440,0.0176,0.5051,0.0039,0.8817,layer_31
alpha_abs_diff,col_norm,16,pooled,,1440,-0.0022,0.9321,-0.0137,0.6041,layer_31
alpha_signed_diff,row_norm,4,pooled,,1440,-0.5522,0.0,-0.5463,0.0,layer_31
alpha_signed_diff,row_norm,8,pooled,,1440,-0.5179,0.0,-0.5302,0.0,layer_31
alpha_signed_diff,row_norm,16,pooled,,1440,-0.501,0.0,-0.507,0.0,layer_31
alpha_signed_diff,col_norm,4,pooled,,1440,0.2497,0.0,0.274,0.0,layer_31
alpha_signed_diff,col_norm,8,pooled,,1440,0.2784,0.0,0.3094,0.0,layer_31
alpha_signed_diff,col_norm,16,pooled,,1440,0.2865,0.0,0.3065,0.0,layer_31
alpha_min,row_norm,4,pooled,,1440,0.0052,0.8431,0.0029,0.9116,layer_31
alpha_min,row_norm,8,pooled,,1440,0.0245,0.3523,0.0207,0.4329,layer_31
alpha_min,row_norm,16,pooled,,1440,0.0539,0.0408,0.0484,0.0664,layer_31
alpha_min,col_norm,4,pooled,,1440,0.0305,0.2477,0.0115,0.6625,layer_31
alpha_min,col_norm,8,pooled,,1440,0.046,0.081,0.0324,0.2199,layer_31
alpha_min,col_norm,16,pooled,,1440,0.072,0.0063,0.0627,0.0173,layer_31
alpha_max,row_norm,4,pooled,,1440,0.03,0.2546,0.0035,0.8932,layer_31
alpha_max,row_norm,8,pooled,,1440,0.0503,0.0563,0.0286,0.2786,layer_31
alpha_max,row_norm,16,pooled,,1440,0.0401,0.1286,0.0335,0.2043,layer_31
alpha_max,col_norm,4,pooled,,1440,0.009,0.7336,0.0008,0.9747,layer_31
alpha_max,col_norm,8,pooled,,1440,0.0533,0.043,0.0296,0.2617,layer_31
alpha_max,col_norm,16,pooled,,1440,0.0488,0.0641,0.0376,0.1536,layer_31
alpha_norm_asym,row_norm,4,pooled,,1440,-0.4906,0.0,-0.4708,0.0,layer_31
alpha_norm_asym,row_norm,8,pooled,,1440,-0.4741,0.0,-0.4732,0.0,layer_31
alpha_norm_asym,row_norm,16,pooled,,1440,-0.4465,0.0,-0.4437,0.0,layer_31
alpha_norm_asym,col_norm,4,pooled,,1440,0.1874,0.0,0.2085,0.0,layer_31
alpha_norm_asym,col_norm,8,pooled,,1440,0.2529,0.0,0.272,0.0,layer_31
alpha_norm_asym,col_norm,16,pooled,,1440,0.222,0.0,0.2297,0.0,layer_31
alpha_abs_ratio,row_norm,4,pooled,,1440,0.0016,0.9511,-0.0118,0.6553,layer_31
alpha_abs_ratio,row_norm,8,pooled,,1440,0.0036,0.8904,-0.0035,0.8947,layer_31
alpha_abs_ratio,row_norm,16,pooled,,1440,-0.0381,0.1486,-0.0524,0.0468,layer_31
alpha_abs_ratio,col_norm,4,pooled,,1440,-0.0343,0.1931,-0.0123,0.6418,layer_31
alpha_abs_ratio,col_norm,8,pooled,,1440,-0.014,0.5966,-0.0038,0.8861,layer_31
alpha_abs_ratio,col_norm,16,pooled,,1440,-0.048,0.0685,-0.0595,0.0239,layer_31
alpha_signed_ratio,row_norm,4,pooled,,1440,-0.4906,0.0,-0.2738,0.0,layer_31
alpha_signed_ratio,row_norm,8,pooled,,1440,-0.4741,0.0,-0.2843,0.0,layer_31
alpha_signed_ratio,row_norm,16,pooled,,1440,-0.4465,0.0,-0.2882,0.0,layer_31
alpha_signed_ratio,col_norm,4,pooled,,1440,0.1874,0.0,0.1302,0.0,layer_31
alpha_signed_ratio,col_norm,8,pooled,,1440,0.2529,0.0,0.199,0.0,layer_31
alpha_signed_ratio,col_norm,16,pooled,,1440,0.222,0.0,0.1018,0.0001,layer_31
alpha_log_ratio,row_norm,4,pooled,,1440,-0.4906,0.0,-0.4385,0.0,layer_31
alpha_log_ratio,row_norm,8,pooled,,1440,-0.4741,0.0,-0.4469,0.0,layer_31
alpha_log_ratio,row_norm,16,pooled,,1440,-0.4465,0.0,-0.4157,0.0,layer_31
alpha_log_ratio,col_norm,4,pooled,,1440,0.1874,0.0,0.1994,0.0,layer_31
alpha_log_ratio,col_norm,8,pooled,,1440,0.2529,0.0,0.2719,0.0,layer_31
alpha_log_ratio,col_norm,16,pooled,,1440,0.222,0.0,0.2143,0.0,layer_31
A_abs_diff,row_norm,4,pooled,,1440,0.0456,0.0837,0.0192,0.4675,layer_31
A_abs_diff,row_norm,8,pooled,,1440,0.0289,0.2728,0.0156,0.5542,layer_31
A_abs_diff,row_norm,16,pooled,,1440,0.0152,0.5647,0.0174,0.5101,layer_31
A_abs_diff,col_norm,4,pooled,,1440,0.0088,0.7391,0.0075,0.7753,layer_31
A_abs_diff,col_norm,8,pooled,,1440,0.0128,0.6277,0.0033,0.899,layer_31
A_abs_diff,col_norm,16,pooled,,1440,0.0061,0.8176,0.008,0.761,layer_31
A_signed_diff,row_norm,4,pooled,,1440,-0.5613,0.0,-0.5846,0.0,layer_31
A_signed_diff,row_norm,8,pooled,,1440,-0.5043,0.0,-0.5438,0.0,layer_31
A_signed_diff,row_norm,16,pooled,,1440,-0.4932,0.0,-0.5264,0.0,layer_31
A_signed_diff,col_norm,4,pooled,,1440,0.2484,0.0,0.2588,0.0,layer_31
A_signed_diff,col_norm,8,pooled,,1440,0.2676,0.0,0.2939,0.0,layer_31
A_signed_diff,col_norm,16,pooled,,1440,0.2607,0.0,0.2783,0.0,layer_31
A_min,row_norm,4,pooled,,1440,-0.0214,0.4174,-0.0156,0.5548,layer_31
A_min,row_norm,8,pooled,,1440,0.0114,0.6662,0.018,0.4953,layer_31
A_min,row_norm,16,pooled,,1440,0.03,0.255,0.0299,0.2569,layer_31
A_min,col_norm,4,pooled,,1440,-0.0261,0.3225,-0.0065,0.8047,layer_31
A_min,col_norm,8,pooled,,1440,0.0103,0.6967,0.0323,0.2203,layer_31
A_min,col_norm,16,pooled,,1440,0.0394,0.1351,0.0455,0.0843,layer_31
A_max,row_norm,4,pooled,,1440,0.0272,0.3024,0.0064,0.8076,layer_31
A_max,row_norm,8,pooled,,1440,0.0486,0.0652,0.0285,0.2803,layer_31
A_max,row_norm,16,pooled,,1440,0.0406,0.1237,0.0392,0.1372,layer_31
A_max,col_norm,4,pooled,,1440,0.0042,0.8747,0.0022,0.9329,layer_31
A_max,col_norm,8,pooled,,1440,0.0517,0.0498,0.0277,0.2938,layer_31
A_max,col_norm,16,pooled,,1440,0.0492,0.062,0.0421,0.1101,layer_31
A_norm_asym,row_norm,4,pooled,,1440,-0.5514,0.0,-0.546,0.0,layer_31
A_norm_asym,row_norm,8,pooled,,1440,-0.4916,0.0,-0.499,0.0,layer_31
A_norm_asym,row_norm,16,pooled,,1440,-0.4813,0.0,-0.4851,0.0,layer_31
A_norm_asym,col_norm,4,pooled,,1440,0.2313,0.0,0.2294,0.0,layer_31
A_norm_asym,col_norm,8,pooled,,1440,0.2537,0.0,0.2609,0.0,layer_31
A_norm_asym,col_norm,16,pooled,,1440,0.2395,0.0,0.2286,0.0,layer_31
A_abs_ratio,row_norm,4,pooled,,1440,0.0402,0.1273,0.0189,0.4728,layer_31
A_abs_ratio,row_norm,8,pooled,,1440,0.0162,0.54,0.0026,0.9202,layer_31
A_abs_ratio,row_norm,16,pooled,,1440,0.0024,0.9279,-0.0006,0.9824,layer_31
A_abs_ratio,col_norm,4,pooled,,1440,0.0064,0.8093,0.0073,0.7826,layer_31
A_abs_ratio,col_norm,8,pooled,,1440,-0.0018,0.9469,-0.0109,0.6789,layer_31
A_abs_ratio,col_norm,16,pooled,,1440,-0.0093,0.7257,-0.0133,0.6152,layer_31
A_signed_ratio,row_norm,4,pooled,,1440,-0.5514,0.0,-0.4698,0.0,layer_31
A_signed_ratio,row_norm,8,pooled,,1440,-0.4916,0.0,-0.4368,0.0,layer_31
A_signed_ratio,row_norm,16,pooled,,1440,-0.4813,0.0,-0.4256,0.0,layer_31
A_signed_ratio,col_norm,4,pooled,,1440,0.2313,0.0,0.2049,0.0,layer_31
A_signed_ratio,col_norm,8,pooled,,1440,0.2537,0.0,0.2261,0.0,layer_31
A_signed_ratio,col_norm,16,pooled,,1440,0.2395,0.0,0.1963,0.0,layer_31
A_log_ratio,row_norm,4,pooled,,1440,-0.5514,0.0,-0.5492,0.0,layer_31
A_log_ratio,row_norm,8,pooled,,1440,-0.4916,0.0,-0.5019,0.0,layer_31
A_log_ratio,row_norm,16,pooled,,1440,-0.4813,0.0,-0.4878,0.0,layer_31
A_log_ratio,col_norm,4,pooled,,1440,0.2313,0.0,0.2297,0.0,layer_31
A_log_ratio,col_norm,8,pooled,,1440,0.2537,0.0,0.2621,0.0,layer_31
A_log_ratio,col_norm,16,pooled,,1440,0.2395,0.0,0.2291,0.0,layer_31
drop_to_min_abs_diff,row_norm,4,pooled,,1440,0.0417,0.1133,0.0176,0.5052,layer_31
drop_to_min_abs_diff,row_norm,8,pooled,,1440,0.0296,0.2622,0.0178,0.4991,layer_31
drop_to_min_abs_diff,row_norm,16,pooled,,1440,0.0127,0.6288,0.018,0.4939,layer_31
drop_to_min_abs_diff,col_norm,4,pooled,,1440,0.0023,0.9302,0.0061,0.8157,layer_31
drop_to_min_abs_diff,col_norm,8,pooled,,1440,0.0139,0.5984,0.0063,0.812,layer_31
drop_to_min_abs_diff,col_norm,16,pooled,,1440,0.004,0.8795,0.0092,0.7274,layer_31
drop_to_min_signed_diff,row_norm,4,pooled,,1440,-0.5742,0.0,-0.5829,0.0,layer_31
drop_to_min_signed_diff,row_norm,8,pooled,,1440,-0.5208,0.0,-0.5455,0.0,layer_31
drop_to_min_signed_diff,row_norm,16,pooled,,1440,-0.5084,0.0,-0.527,0.0,layer_31
drop_to_min_signed_diff,col_norm,4,pooled,,1440,0.2463,0.0,0.266,0.0,layer_31
drop_to_min_signed_diff,col_norm,8,pooled,,1440,0.2737,0.0,0.3005,0.0,layer_31
drop_to_min_signed_diff,col_norm,16,pooled,,1440,0.2681,0.0,0.2857,0.0,layer_31
drop_to_min_min,row_norm,4,pooled,,1440,-0.0012,0.9646,-0.0138,0.602,layer_31
drop_to_min_min,row_norm,8,pooled,,1440,0.0242,0.3591,0.0182,0.4894,layer_31
drop_to_min_min,row_norm,16,pooled,,1440,0.0507,0.0544,0.0324,0.2195,layer_31
drop_to_min_min,col_norm,4,pooled,,1440,0.0094,0.7229,-0.005,0.8507,layer_31
drop_to_min_min,col_norm,8,pooled,,1440,0.0313,0.2348,0.032,0.225,layer_31
drop_to_min_min,col_norm,16,pooled,,1440,0.064,0.0151,0.0477,0.0704,layer_31
drop_to_min_max,row_norm,4,pooled,,1440,0.0271,0.3036,0.0065,0.8064,layer_31
drop_to_min_max,row_norm,8,pooled,,1440,0.0487,0.0644,0.0297,0.2607,layer_31
drop_to_min_max,row_norm,16,pooled,,1440,0.0404,0.1258,0.04,0.1291,layer_31
drop_to_min_max,col_norm,4,pooled,,1440,0.0045,0.8648,0.0022,0.935,layer_31
drop_to_min_max,col_norm,8,pooled,,1440,0.0518,0.0495,0.0288,0.2747,layer_31
drop_to_min_max,col_norm,16,pooled,,1440,0.0488,0.064,0.0428,0.1046,layer_31
drop_to_min_norm_asym,row_norm,4,pooled,,1440,-0.5514,0.0,-0.5417,0.0,layer_31
drop_to_min_norm_asym,row_norm,8,pooled,,1440,-0.5002,0.0,-0.5012,0.0,layer_31
