checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
step50000-tokens210B,Arabic,m_mmlu,m_mmlu_ar,0.2607518564356436,5,0.25,166.7835,15.1624,0.818019,0.2173,0.4171,0.4712,0.5424,0.6004,0.665,0.7611,0.8391,0.9167,layer_21,last
step100000-tokens420B,Arabic,m_mmlu,m_mmlu_ar,0.23978960396039603,5,0.25,111.198,11.2675,0.844893,0.2604,0.4894,0.5395,0.602,0.6551,0.714,0.7994,0.8668,0.9324,layer_21,last
step150000-tokens630B,Arabic,m_mmlu,m_mmlu_ar,0.3087871287128713,5,0.25,90.3715,9.6818,0.854833,0.2859,0.5249,0.5717,0.6313,0.681,0.7365,0.8159,0.8783,0.9386,layer_21,last
step200000-tokens840B,Arabic,m_mmlu,m_mmlu_ar,0.341197400990099,5,0.25,85.1858,8.5429,0.85746,0.3164,0.5279,0.5737,0.6336,0.683,0.7383,0.8173,0.8793,0.9394,layer_21,last
step250000-tokens1050B,Arabic,m_mmlu,m_mmlu_ar,0.320467202970297,5,0.25,107.8928,10.8676,0.868571,0.2678,0.4917,0.5417,0.6032,0.656,0.7159,0.8016,0.8694,0.9349,layer_21,last
step300000-tokens1260B,Arabic,m_mmlu,m_mmlu_ar,0.36177289603960394,5,0.25,109.5593,10.6005,0.873097,0.2768,0.4864,0.5359,0.598,0.6519,0.7127,0.7996,0.8683,0.9346,layer_21,last
step350000-tokens1470B,Arabic,m_mmlu,m_mmlu_ar,0.3688118811881188,5,0.25,110.4229,10.8217,0.869766,0.2698,0.4813,0.5349,0.5979,0.6518,0.7129,0.8,0.8686,0.9347,layer_21,last
step400000-tokens1680B,Arabic,m_mmlu,m_mmlu_ar,0.38374071782178215,5,0.25,145.2805,13.8194,0.873337,0.2359,0.4355,0.4896,0.5582,0.6177,0.6851,0.7806,0.8561,0.9287,layer_21,last
step450000-tokens1890B,Arabic,m_mmlu,m_mmlu_ar,0.3911664603960396,5,0.25,133.5221,12.6162,0.872671,0.2472,0.4487,0.502,0.5692,0.6269,0.6922,0.7853,0.8591,0.9302,layer_21,last
step500000-tokens2100B,Arabic,m_mmlu,m_mmlu_ar,0.39758663366336633,5,0.25,144.246,13.1363,0.873832,0.2444,0.4359,0.4872,0.5555,0.6142,0.6812,0.7774,0.8539,0.9277,layer_21,last
step550000-tokens2310B,Arabic,m_mmlu,m_mmlu_ar,0.39449257425742573,5,0.25,143.0019,13.2031,0.875985,0.2421,0.4373,0.4887,0.5577,0.6165,0.6835,0.7793,0.8552,0.9285,layer_21,last
step600000-tokens2520B,Arabic,m_mmlu,m_mmlu_ar,0.4040841584158416,5,0.25,141.3025,13.0781,0.876126,0.2398,0.4395,0.4913,0.5579,0.6163,0.6836,0.7794,0.8553,0.9285,layer_21,last
step650000-tokens2730B,Arabic,m_mmlu,m_mmlu_ar,0.38907797029702973,5,0.25,156.244,15.1434,0.881094,0.2101,0.4222,0.4754,0.5459,0.6065,0.6757,0.7743,0.8523,0.9273,layer_21,last
