checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
step50000-tokens210B,Arabic,belebele,belebele_arb_Arab,0.27111111111111114,5,0.25,163.5218,14.8029,0.810343,0.2165,0.4191,0.4765,0.5458,0.602,0.6662,0.7611,0.8383,0.9158,layer_19,last
step100000-tokens420B,Arabic,belebele,belebele_arb_Arab,0.2588888888888889,5,0.25,113.0954,12.054,0.832461,0.2334,0.4932,0.542,0.6032,0.655,0.7131,0.7976,0.8647,0.9306,layer_19,last
step150000-tokens630B,Arabic,belebele,belebele_arb_Arab,0.36444444444444446,5,0.25,95.2942,10.7789,0.840723,0.2512,0.5238,0.5696,0.6286,0.6775,0.7327,0.8118,0.8745,0.9359,layer_19,last
step200000-tokens840B,Arabic,belebele,belebele_arb_Arab,0.37222222222222223,5,0.25,91.9858,9.8025,0.842597,0.2805,0.5242,0.5701,0.6295,0.6784,0.7333,0.8123,0.875,0.9363,layer_19,last
step250000-tokens1050B,Arabic,belebele,belebele_arb_Arab,0.43666666666666665,5,0.25,100.612,10.4851,0.850188,0.2662,0.5072,0.5564,0.6157,0.6661,0.7231,0.8052,0.8705,0.9344,layer_19,last
step300000-tokens1260B,Arabic,belebele,belebele_arb_Arab,0.45111111111111113,5,0.25,101.5379,9.9499,0.85446,0.2841,0.502,0.5504,0.6102,0.6614,0.7192,0.8026,0.8689,0.9337,layer_19,last
step350000-tokens1470B,Arabic,belebele,belebele_arb_Arab,0.4888888888888889,5,0.25,105.6766,10.5079,0.849676,0.2698,0.4932,0.5448,0.6066,0.6583,0.7166,0.8007,0.8675,0.9329,layer_19,last
step400000-tokens1680B,Arabic,belebele,belebele_arb_Arab,0.49,5,0.25,133.7214,12.7985,0.852496,0.2423,0.4542,0.5057,0.5729,0.6294,0.6929,0.784,0.8566,0.9275,layer_19,last
step450000-tokens1890B,Arabic,belebele,belebele_arb_Arab,0.49333333333333335,5,0.25,123.505,11.6577,0.854378,0.2553,0.4645,0.516,0.5818,0.6365,0.6988,0.7881,0.8593,0.9289,layer_19,last
step500000-tokens2100B,Arabic,belebele,belebele_arb_Arab,0.4888888888888889,5,0.25,124.4144,11.3496,0.855275,0.2636,0.4619,0.5123,0.5782,0.6328,0.6951,0.7852,0.8574,0.9281,layer_19,last
step550000-tokens2310B,Arabic,belebele,belebele_arb_Arab,0.5088888888888888,5,0.25,127.9583,11.5067,0.853127,0.2638,0.4563,0.5078,0.5745,0.6297,0.6922,0.783,0.8559,0.9273,layer_19,last
step600000-tokens2520B,Arabic,belebele,belebele_arb_Arab,0.5211111111111111,5,0.25,131.1167,12.0803,0.853974,0.2482,0.4548,0.5055,0.5708,0.6262,0.6894,0.7812,0.8546,0.9266,layer_19,last
step650000-tokens2730B,Arabic,belebele,belebele_arb_Arab,0.5155555555555555,5,0.25,143.9426,13.5612,0.859365,0.2269,0.438,0.4896,0.5593,0.6172,0.6823,0.7766,0.8519,0.9255,layer_19,last
step700000-tokens2940B,Arabic,belebele,belebele_arb_Arab,0.53,5,0.25,144.8202,13.8843,0.856962,0.2236,0.4386,0.4911,0.5611,0.6186,0.6837,0.7774,0.8523,0.9255,layer_19,last
step750000-tokens3150B,Arabic,belebele,belebele_arb_Arab,0.5811111111111111,5,0.25,147.7369,13.4831,0.854696,0.2333,0.4317,0.4834,0.554,0.6126,0.6787,0.7738,0.8499,0.9242,layer_19,last
step800000-tokens3360B,Arabic,belebele,belebele_arb_Arab,0.5455555555555556,5,0.25,132.6887,12.398,0.856067,0.2385,0.4514,0.5017,0.5689,0.6259,0.6896,0.7815,0.855,0.9268,layer_19,last
step850000-tokens3570B,Arabic,belebele,belebele_arb_Arab,0.5155555555555555,5,0.25,169.5558,15.8149,0.857429,0.2076,0.4107,0.4628,0.5357,0.5967,0.665,0.7638,0.8432,0.921,layer_19,last
step900000-tokens3780B,Arabic,belebele,belebele_arb_Arab,0.54,5,0.25,145.8661,13.3328,0.858708,0.2352,0.4327,0.4839,0.5563,0.6151,0.6805,0.7752,0.851,0.9249,layer_19,last
step950000-tokens3990B,Arabic,belebele,belebele_arb_Arab,0.5833333333333334,5,0.25,138.5342,12.9786,0.850847,0.2336,0.4454,0.4966,0.5649,0.6219,0.686,0.7789,0.8529,0.9256,layer_19,last
step1000000-tokens4200B,Arabic,belebele,belebele_arb_Arab,0.5644444444444444,5,0.25,133.4748,12.5573,0.854846,0.2343,0.4523,0.5021,0.5692,0.6254,0.6889,0.7806,0.8541,0.9263,layer_19,last
step1194000-tokens5014B,Arabic,belebele,belebele_arb_Arab,0.5688888888888889,5,0.25,123.7696,11.5829,0.856908,0.2521,0.4593,0.509,0.5806,0.6356,0.6981,0.7874,0.8587,0.9286,layer_19,last
step1432000-tokens6014B,Arabic,belebele,belebele_arb_Arab,0.52,5,0.25,140.3195,13.0809,0.853834,0.2314,0.4408,0.4918,0.5626,0.6203,0.6848,0.778,0.8522,0.9252,layer_19,last
step1670000-tokens7014B,Arabic,belebele,belebele_arb_Arab,0.5766666666666667,5,0.25,148.4703,13.7131,0.854714,0.2288,0.4322,0.4834,0.5542,0.6135,0.6792,0.7742,0.8497,0.924,layer_19,last
step1678000-tokens7047B,Arabic,belebele,belebele_arb_Arab,0.59,5,0.25,144.7139,13.7696,0.854063,0.2226,0.435,0.4861,0.5607,0.6202,0.685,0.7782,0.8524,0.9252,layer_19,last
step1700000-tokens7232B,Arabic,belebele,belebele_arb_Arab,0.6111111111111112,5,0.25,144.3843,13.5939,0.862233,0.2265,0.4339,0.4877,0.5578,0.6175,0.6841,0.7787,0.8532,0.926,layer_19,last
step1750000-tokens7652B,Arabic,belebele,belebele_arb_Arab,0.6511111111111111,5,0.25,146.2674,13.8223,0.858952,0.2191,0.4335,0.4849,0.5561,0.6152,0.6815,0.7766,0.8518,0.9253,layer_19,last
step1800000-tokens8072B,Arabic,belebele,belebele_arb_Arab,0.6711111111111111,5,0.25,129.2938,12.0462,0.862965,0.2433,0.4537,0.5033,0.5705,0.6282,0.6927,0.7845,0.8571,0.9281,layer_19,last
step1850000-tokens8492B,Arabic,belebele,belebele_arb_Arab,0.6411111111111111,5,0.25,136.1166,13.0571,0.856246,0.2291,0.4447,0.4953,0.5679,0.6264,0.6917,0.7842,0.8567,0.9276,layer_19,last
step1900000-tokens8912B,Arabic,belebele,belebele_arb_Arab,0.6277777777777778,5,0.25,131.4496,12.5709,0.85866,0.2324,0.4517,0.5015,0.5703,0.6295,0.6941,0.7854,0.8576,0.9281,layer_19,last
step1950000-tokens9332B,Arabic,belebele,belebele_arb_Arab,0.6222222222222222,5,0.25,142.6256,13.6255,0.853623,0.2236,0.4362,0.4893,0.5608,0.6205,0.6868,0.7805,0.8542,0.9263,layer_19,last
step2000000-tokens9752B,Arabic,belebele,belebele_arb_Arab,0.6577777777777778,5,0.25,134.5751,12.5777,0.859327,0.2389,0.4455,0.4962,0.5667,0.6251,0.6902,0.7831,0.8562,0.9275,layer_19,last
step2050000-tokens10172B,Arabic,belebele,belebele_arb_Arab,0.6444444444444445,5,0.25,135.304,12.9643,0.863491,0.2308,0.4431,0.4944,0.5681,0.6276,0.6926,0.7851,0.8578,0.9285,layer_19,last
step2100000-tokens10592B,Arabic,belebele,belebele_arb_Arab,0.6388888888888888,5,0.25,140.9494,13.6547,0.856636,0.2245,0.4359,0.4887,0.565,0.6254,0.6912,0.7837,0.8563,0.9273,layer_19,last
step2150000-tokens11012B,Arabic,belebele,belebele_arb_Arab,0.6588888888888889,5,0.25,130.4644,12.3229,0.863452,0.2399,0.4502,0.5,0.5712,0.6297,0.6946,0.7865,0.8586,0.9289,layer_19,last
step2200000-tokens11432B,Arabic,belebele,belebele_arb_Arab,0.6522222222222223,5,0.25,134.2085,12.7299,0.857498,0.2365,0.4443,0.496,0.569,0.6278,0.6932,0.7858,0.858,0.9282,layer_19,last
step2250000-tokens11852B,Arabic,belebele,belebele_arb_Arab,0.6533333333333333,5,0.25,133.4099,12.6399,0.865066,0.2377,0.4474,0.4978,0.5686,0.6281,0.6932,0.7851,0.8575,0.9283,layer_19,last
step2300000-tokens12272B,Arabic,belebele,belebele_arb_Arab,0.7333333333333333,5,0.25,141.8209,13.5518,0.85519,0.22,0.4409,0.4911,0.5605,0.6197,0.6858,0.7795,0.8534,0.9259,layer_19,last
step2350000-tokens12692B,Arabic,belebele,belebele_arb_Arab,0.7244444444444444,5,0.25,147.2804,13.8552,0.857045,0.2233,0.4323,0.4828,0.5553,0.6156,0.6822,0.7773,0.852,0.9252,layer_19,last
step2400000-tokens13112B,Arabic,belebele,belebele_arb_Arab,0.7044444444444444,5,0.25,126.9189,11.971,0.853347,0.2417,0.4556,0.5041,0.5751,0.633,0.6965,0.7872,0.8585,0.9282,layer_19,last
step2450000-tokens13532B,Arabic,belebele,belebele_arb_Arab,0.7288888888888889,5,0.25,172.0232,17.9918,0.847538,0.1892,0.4037,0.4627,0.5454,0.608,0.6766,0.7737,0.8497,0.9236,layer_19,last
step2500000-tokens13952B,Arabic,belebele,belebele_arb_Arab,0.7577777777777778,5,0.25,179.7366,18.539,0.852418,0.1934,0.3945,0.4538,0.537,0.6019,0.6721,0.7712,0.8484,0.9231,layer_19,last
step2550000-tokens14372B,Arabic,belebele,belebele_arb_Arab,0.7688888888888888,5,0.25,194.133,20.37,0.854635,0.186,0.3791,0.4392,0.526,0.5931,0.6654,0.7672,0.8461,0.922,layer_19,last
step2600000-tokens14792B,Arabic,belebele,belebele_arb_Arab,0.7455555555555555,5,0.25,175.4396,18.5229,0.851786,0.193,0.3963,0.458,0.5419,0.6068,0.6774,0.7759,0.8519,0.9249,layer_19,last
step2627139-tokens15T,Arabic,belebele,belebele_arb_Arab,0.7522222222222222,5,0.25,175.5102,18.3858,0.853684,0.199,0.3942,0.4565,0.5423,0.6079,0.6786,0.7769,0.8527,0.9253,layer_19,last
step50000-tokens210B,Chinese,belebele,belebele_zho_Hans,0.24444444444444444,5,0.25,374.9771,33.371,0.725804,0.1486,0.2873,0.3455,0.4237,0.489,0.5597,0.671,0.7703,0.8735,layer_19,last
