checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
step50000-tokens210B,Arabic,belebele,belebele_arb_Arab,0.27111111111111114,5,0.25,377.6718,29.0958,0.638505,0.1615,0.3076,0.3511,0.4162,0.4803,0.5557,0.6653,0.7573,0.8556,layer_21,last
step100000-tokens420B,Arabic,belebele,belebele_arb_Arab,0.2588888888888889,5,0.25,99.6563,7.8074,0.657489,0.3382,0.5196,0.5523,0.6025,0.6499,0.7043,0.7799,0.8419,0.907,layer_21,last
step150000-tokens630B,Arabic,belebele,belebele_arb_Arab,0.36444444444444446,5,0.25,82.1991,7.1013,0.663634,0.3519,0.55,0.5808,0.6288,0.6742,0.7258,0.7963,0.8541,0.9146,layer_21,last
step200000-tokens840B,Arabic,belebele,belebele_arb_Arab,0.37222222222222223,5,0.25,110.6199,9.0116,0.666444,0.307,0.5049,0.5391,0.5925,0.6425,0.6995,0.7771,0.8406,0.9069,layer_21,last
step250000-tokens1050B,Arabic,belebele,belebele_arb_Arab,0.43666666666666665,5,0.25,140.1463,10.8659,0.667108,0.2776,0.4662,0.5026,0.5601,0.6144,0.6765,0.7605,0.8289,0.9001,layer_21,last
step300000-tokens1260B,Arabic,belebele,belebele_arb_Arab,0.45111111111111113,5,0.25,181.4498,13.926,0.668786,0.2414,0.4232,0.4629,0.5255,0.5845,0.6516,0.7421,0.8159,0.8927,layer_21,last
step350000-tokens1470B,Arabic,belebele,belebele_arb_Arab,0.4888888888888889,5,0.25,238.4586,18.9877,0.669477,0.1999,0.3773,0.4196,0.4868,0.5505,0.6232,0.7213,0.8011,0.8843,layer_21,last
step400000-tokens1680B,Arabic,belebele,belebele_arb_Arab,0.49,5,0.25,275.2865,22.4107,0.670421,0.1826,0.3509,0.3948,0.4646,0.5316,0.6076,0.7098,0.7931,0.8797,layer_21,last
step450000-tokens1890B,Arabic,belebele,belebele_arb_Arab,0.49333333333333335,5,0.25,331.5268,29.5322,0.671078,0.1511,0.3175,0.3636,0.4371,0.507,0.5869,0.6948,0.7825,0.8737,layer_21,last
step500000-tokens2100B,Arabic,belebele,belebele_arb_Arab,0.4888888888888889,5,0.25,381.5299,37.1763,0.67153,0.1276,0.2909,0.339,0.4151,0.4877,0.5707,0.6831,0.7744,0.8691,layer_21,last
step550000-tokens2310B,Arabic,belebele,belebele_arb_Arab,0.5088888888888888,5,0.25,414.5471,43.5007,0.672737,0.1121,0.2733,0.3225,0.4016,0.4767,0.5621,0.6771,0.7703,0.8668,layer_21,last
step600000-tokens2520B,Arabic,belebele,belebele_arb_Arab,0.5211111111111111,5,0.25,456.9748,51.2058,0.670732,0.0982,0.255,0.3049,0.3851,0.4616,0.5491,0.6671,0.7629,0.8623,layer_21,last
step650000-tokens2730B,Arabic,belebele,belebele_arb_Arab,0.5155555555555555,5,0.25,466.8297,53.5596,0.673123,0.0953,0.2493,0.2998,0.3808,0.4582,0.5467,0.666,0.7625,0.8624,layer_21,last
step700000-tokens2940B,Arabic,belebele,belebele_arb_Arab,0.53,5,0.25,492.2227,58.4532,0.672578,0.0889,0.2392,0.2898,0.3714,0.4492,0.5387,0.6599,0.7582,0.8598,layer_21,last
step750000-tokens3150B,Arabic,belebele,belebele_arb_Arab,0.5811111111111111,5,0.25,493.025,58.9817,0.673689,0.0885,0.2376,0.289,0.3709,0.4491,0.539,0.6607,0.7589,0.8604,layer_21,last
step800000-tokens3360B,Arabic,belebele,belebele_arb_Arab,0.5455555555555556,5,0.25,526.5635,66.7532,0.673591,0.0818,0.2242,0.2753,0.3587,0.4385,0.5299,0.654,0.7541,0.8577,layer_21,last
step850000-tokens3570B,Arabic,belebele,belebele_arb_Arab,0.5155555555555555,5,0.25,525.0543,66.4767,0.674529,0.0815,0.2243,0.2759,0.3589,0.4386,0.5303,0.6545,0.7546,0.858,layer_21,last
step900000-tokens3780B,Arabic,belebele,belebele_arb_Arab,0.54,5,0.25,545.9986,72.3036,0.674928,0.0768,0.2152,0.2671,0.3512,0.4323,0.5259,0.6513,0.7524,0.8568,layer_21,last
step950000-tokens3990B,Arabic,belebele,belebele_arb_Arab,0.5833333333333334,5,0.25,571.2805,77.6334,0.673158,0.0736,0.2077,0.2588,0.3428,0.4238,0.5179,0.6449,0.7476,0.8539,layer_21,last
step1000000-tokens4200B,Arabic,belebele,belebele_arb_Arab,0.5644444444444444,5,0.25,540.5495,68.435,0.673887,0.0816,0.2193,0.2694,0.3524,0.4322,0.5252,0.6504,0.7517,0.8563,layer_21,last
step1194000-tokens5014B,Arabic,belebele,belebele_arb_Arab,0.5688888888888889,5,0.25,465.8911,48.2525,0.677312,0.1148,0.2484,0.2957,0.3758,0.4527,0.5428,0.6642,0.7619,0.8626,layer_21,last
step1432000-tokens6014B,Arabic,belebele,belebele_arb_Arab,0.52,5,0.25,595.7761,83.2065,0.675268,0.0724,0.199,0.2486,0.3338,0.4152,0.511,0.6403,0.7447,0.8525,layer_21,last
step1670000-tokens7014B,Arabic,belebele,belebele_arb_Arab,0.5766666666666667,5,0.25,581.3213,77.5713,0.676388,0.0753,0.2049,0.2535,0.3373,0.4181,0.513,0.6422,0.7464,0.8538,layer_21,last
step1678000-tokens7047B,Arabic,belebele,belebele_arb_Arab,0.59,5,0.25,576.35,76.4792,0.677737,0.0763,0.2061,0.2545,0.3379,0.419,0.5146,0.6437,0.7478,0.8547,layer_21,last
step1700000-tokens7232B,Arabic,belebele,belebele_arb_Arab,0.6111111111111112,5,0.25,561.3699,77.2324,0.683303,0.0746,0.2065,0.2568,0.3428,0.4262,0.5224,0.6509,0.7536,0.8586,layer_21,last
step1750000-tokens7652B,Arabic,belebele,belebele_arb_Arab,0.6511111111111111,5,0.25,566.6183,77.1411,0.680956,0.0746,0.2064,0.2567,0.3418,0.4237,0.5194,0.6484,0.7515,0.8571,layer_21,last
step1800000-tokens8072B,Arabic,belebele,belebele_arb_Arab,0.6711111111111111,5,0.25,561.6373,76.1417,0.682998,0.0748,0.208,0.2577,0.3424,0.4247,0.5209,0.6498,0.7528,0.8582,layer_21,last
step1850000-tokens8492B,Arabic,belebele,belebele_arb_Arab,0.6411111111111111,5,0.25,550.1458,74.8505,0.68572,0.0753,0.2095,0.2598,0.346,0.4294,0.5256,0.6541,0.7563,0.8605,layer_21,last
step1900000-tokens8912B,Arabic,belebele,belebele_arb_Arab,0.6277777777777778,5,0.25,559.4048,76.1076,0.68433,0.0751,0.2074,0.2579,0.3435,0.4255,0.5218,0.6509,0.7539,0.859,layer_21,last
