checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,English,layer_0,last,176.2048,25.4827,1.358558,0.1808,0.2912,0.3473,0.4456,0.5564,0.693,0.863,0.9478,0.9855
10B,English,layer_1,last,212.2066,22.1531,1.082762,0.2019,0.2897,0.3386,0.4232,0.5179,0.6426,0.8112,0.9109,0.9682
10B,English,layer_2,last,218.9397,21.4111,0.986896,0.2043,0.3008,0.351,0.4333,0.5222,0.6385,0.7964,0.8938,0.9567
10B,English,layer_3,last,229.1743,22.3187,0.936015,0.1975,0.3118,0.362,0.4414,0.5248,0.6335,0.7824,0.8789,0.947
10B,English,layer_4,last,236.1098,23.6482,0.901771,0.1855,0.3225,0.371,0.4488,0.5275,0.6298,0.7715,0.8669,0.9392
10B,English,layer_5,last,257.3119,25.5091,0.875052,0.1757,0.317,0.3647,0.4412,0.5176,0.6165,0.7555,0.8524,0.9307
10B,English,layer_6,last,301.846,31.77,0.855431,0.1499,0.2966,0.3445,0.4202,0.4961,0.5946,0.7347,0.8359,0.9214
10B,English,layer_7,last,360.5696,40.2359,0.833463,0.1269,0.2725,0.3187,0.3933,0.4689,0.5668,0.7111,0.818,0.911
10B,English,layer_8,last,410.2598,47.7977,0.814815,0.1089,0.257,0.3018,0.3745,0.4486,0.5448,0.6905,0.8019,0.9015
10B,English,layer_9,last,464.9846,56.967,0.795533,0.0877,0.2409,0.2856,0.3562,0.4276,0.5218,0.6708,0.7865,0.892
10B,English,layer_10,last,497.7148,62.7343,0.78007,0.0825,0.2312,0.2738,0.3453,0.4172,0.512,0.6622,0.7782,0.8858
10B,English,layer_11,last,536.0512,66.0395,0.75925,0.0822,0.2268,0.2689,0.3376,0.4052,0.4948,0.6432,0.7627,0.8758
10B,English,layer_12,last,574.9352,72.6713,0.746709,0.08,0.2149,0.2556,0.3235,0.3922,0.484,0.6342,0.755,0.8701
10B,English,layer_13,last,608.7241,76.3826,0.732948,0.0787,0.2087,0.2487,0.3165,0.3835,0.4724,0.6213,0.744,0.8628
10B,English,layer_14,last,653.0087,80.4873,0.714814,0.0784,0.2041,0.2451,0.3105,0.3732,0.456,0.6016,0.7273,0.852
10B,English,layer_15,last,679.22,84.594,0.706776,0.078,0.1976,0.2385,0.3049,0.3678,0.4499,0.5943,0.7209,0.8474
10B,English,layer_16,last,697.7566,85.7796,0.697452,0.0804,0.1931,0.235,0.3023,0.365,0.4459,0.5881,0.7149,0.8429
10B,English,layer_17,last,728.0077,88.8993,0.685992,0.0802,0.1878,0.2298,0.2969,0.3592,0.4384,0.5783,0.7055,0.8362
10B,English,layer_18,last,738.1294,86.8254,0.676409,0.0841,0.1882,0.2295,0.2967,0.3582,0.4362,0.5735,0.6997,0.8317
10B,English,layer_19,last,746.9553,84.2043,0.66632,0.0875,0.19,0.23,0.2961,0.3569,0.4335,0.5686,0.6943,0.8271
10B,English,layer_20,last,736.4273,76.7046,0.654383,0.0948,0.1972,0.2369,0.3015,0.3611,0.4356,0.5666,0.6899,0.8226
10B,English,layer_21,last,755.8186,74.7037,0.641096,0.0979,0.1973,0.2366,0.2997,0.358,0.4295,0.5566,0.6796,0.8148
10B,English,layer_22,last,754.9425,73.3278,0.636109,0.0996,0.1979,0.2385,0.3013,0.3595,0.4301,0.5556,0.6783,0.8131
10B,English,layer_23,last,745.6862,71.3149,0.632892,0.1016,0.1986,0.2413,0.3048,0.3634,0.4339,0.5578,0.6789,0.8127
10B,English,layer_24,last,736.3964,68.1336,0.632107,0.1059,0.1981,0.2411,0.3051,0.3652,0.4371,0.5615,0.6815,0.8137
10B,English,layer_25,last,708.7628,66.4132,0.635296,0.1081,0.1961,0.2434,0.3121,0.3756,0.45,0.5739,0.6909,0.8189
10B,English,layer_26,last,663.6261,65.6514,0.645849,0.1085,0.1962,0.2457,0.322,0.3918,0.4706,0.5956,0.7086,0.8298
10B,English,layer_27,last,588.4991,58.2333,0.652304,0.1128,0.2146,0.265,0.3446,0.4159,0.4953,0.618,0.7257,0.8399
10B,English,layer_28,last,420.0739,34.8019,0.658934,0.1461,0.2732,0.3256,0.4036,0.4695,0.5434,0.6575,0.7552,0.8574
10B,English,layer_29,last,268.129,18.8811,0.661561,0.2072,0.3494,0.4011,0.4727,0.5312,0.5965,0.6979,0.7842,0.8745
10B,English,layer_0,mean,132.034,24.9355,1.18705,0.177,0.3169,0.3924,0.523,0.6432,0.7723,0.9092,0.967,0.99
10B,English,layer_1,mean,112.9698,19.7236,1.095358,0.2016,0.3556,0.442,0.5688,0.6781,0.7915,0.9087,0.9605,0.986
10B,English,layer_2,mean,79.9746,10.9075,1.016911,0.2859,0.4494,0.5261,0.6305,0.7152,0.8037,0.9015,0.9519,0.9813
10B,English,layer_3,mean,40.2133,5.5094,0.971178,0.4154,0.5736,0.6396,0.7216,0.7833,0.8472,0.919,0.958,0.9825
10B,English,layer_4,mean,28.4912,4.2771,0.94077,0.4752,0.6284,0.6939,0.7661,0.8172,0.8692,0.928,0.9611,0.9831
10B,English,layer_5,mean,27.1674,4.1699,0.917234,0.4817,0.6333,0.7048,0.777,0.8253,0.8735,0.9285,0.9601,0.9821
10B,English,layer_6,mean,27.1208,3.9933,0.896927,0.4935,0.6342,0.7005,0.7723,0.8201,0.8681,0.9237,0.9564,0.9799
10B,English,layer_7,mean,29.2099,4.3043,0.882364,0.474,0.6206,0.6946,0.7707,0.82,0.8678,0.9226,0.9549,0.9788
10B,English,layer_8,mean,30.2874,4.2977,0.866421,0.4747,0.617,0.6879,0.7643,0.8139,0.8617,0.9173,0.951,0.9765
10B,English,layer_9,mean,28.8233,4.0089,0.850683,0.4928,0.6274,0.6909,0.7643,0.8127,0.8593,0.9144,0.9485,0.9749
10B,English,layer_10,mean,27.3919,3.8637,0.838706,0.5023,0.6357,0.6964,0.7695,0.8176,0.8628,0.9154,0.9484,0.9745
10B,English,layer_11,mean,24.1724,3.473,0.826375,0.5314,0.6539,0.7094,0.778,0.8234,0.8659,0.9163,0.9484,0.9742
10B,English,layer_12,mean,22.6007,3.3776,0.824572,0.539,0.6619,0.7177,0.7864,0.8323,0.8738,0.9213,0.9514,0.9755
10B,English,layer_13,mean,24.7079,3.6654,0.821307,0.5161,0.6504,0.7111,0.7836,0.8306,0.8728,0.9206,0.9507,0.975
10B,English,layer_14,mean,25.828,3.6533,0.807646,0.5172,0.647,0.705,0.7748,0.821,0.8635,0.9134,0.9457,0.9721
10B,English,layer_15,mean,28.6536,4.0109,0.806234,0.4921,0.6345,0.6956,0.7695,0.8174,0.8609,0.9119,0.9446,0.9715
10B,English,layer_16,mean,34.0707,4.5901,0.806848,0.4581,0.6081,0.6727,0.7538,0.8066,0.8536,0.9078,0.9422,0.9701
10B,English,layer_17,mean,40.2915,5.4167,0.806587,0.4186,0.5834,0.6537,0.7417,0.7991,0.8484,0.9047,0.9401,0.969
10B,English,layer_18,mean,47.3377,6.3612,0.805022,0.3835,0.5535,0.6315,0.7275,0.7909,0.8435,0.9016,0.9379,0.9676
10B,English,layer_19,mean,54.2063,6.8681,0.795656,0.368,0.5387,0.6142,0.7093,0.7735,0.8281,0.8899,0.9297,0.9632
10B,English,layer_20,mean,65.439,8.6764,0.796497,0.3219,0.5011,0.5893,0.694,0.7638,0.8225,0.8856,0.9265,0.9615
10B,English,layer_21,mean,88.6198,11.6283,0.806043,0.2721,0.4557,0.5441,0.6546,0.7307,0.7951,0.8668,0.9154,0.9567
10B,English,layer_22,mean,106.0249,15.0329,0.815389,0.2314,0.4242,0.5144,0.6311,0.7124,0.7834,0.862,0.9134,0.9561
10B,English,layer_23,mean,124.1485,19.2397,0.824146,0.1952,0.3971,0.49,0.6102,0.6953,0.7703,0.8547,0.91,0.955
10B,English,layer_24,mean,142.0141,26.8484,0.838015,0.1518,0.3459,0.4576,0.5958,0.6903,0.7709,0.858,0.9133,0.9571
10B,English,layer_25,mean,144.774,33.991,0.851988,0.1145,0.3178,0.4436,0.5984,0.6993,0.7836,0.8689,0.9207,0.9611
10B,English,layer_26,mean,145.1376,40.2797,0.879135,0.0886,0.2882,0.4251,0.5955,0.7064,0.7954,0.8814,0.9307,0.9668
10B,English,layer_27,mean,149.1243,43.0804,0.89102,0.0791,0.2747,0.4145,0.5889,0.7019,0.7938,0.8826,0.9327,0.9682
10B,English,layer_28,mean,149.037,42.7154,0.900034,0.0766,0.2792,0.4123,0.5855,0.6992,0.7929,0.8841,0.9345,0.9694
10B,English,layer_29,mean,139.1558,38.2149,0.903155,0.0867,0.3025,0.4319,0.5972,0.7066,0.7976,0.8876,0.9369,0.9707
10B,Chinese,layer_0,last,143.8639,17.54,1.498185,0.2283,0.318,0.368,0.4669,0.5764,0.7116,0.8766,0.9563,0.9896
10B,Chinese,layer_1,last,159.3705,15.3776,1.192725,0.2467,0.3334,0.3775,0.4638,0.5583,0.6785,0.8367,0.9261,0.9757
10B,Chinese,layer_2,last,150.488,13.8104,1.07962,0.2599,0.3593,0.4058,0.4891,0.5764,0.6862,0.83,0.9145,0.9675
10B,Chinese,layer_3,last,170.2395,15.648,1.025314,0.2416,0.3506,0.3966,0.479,0.5648,0.672,0.8133,0.9,0.9593
10B,Chinese,layer_4,last,183.948,16.7583,0.990563,0.2322,0.3458,0.3923,0.4742,0.5582,0.6623,0.8008,0.8886,0.9528
10B,Chinese,layer_5,last,202.5802,18.171,0.964766,0.222,0.3359,0.3816,0.4633,0.5465,0.649,0.7862,0.8766,0.9462
10B,Chinese,layer_6,last,235.8527,22.5012,0.947644,0.1944,0.3166,0.3623,0.4445,0.528,0.6306,0.7696,0.864,0.9396
10B,Chinese,layer_7,last,279.7483,28.6361,0.927281,0.1665,0.2946,0.3395,0.4211,0.5042,0.6065,0.7498,0.8498,0.932
10B,Chinese,layer_8,last,312.5685,33.4175,0.911228,0.1484,0.2817,0.3256,0.4055,0.4883,0.5894,0.7341,0.8377,0.9253
10B,Chinese,layer_9,last,343.1134,38.4421,0.893061,0.1324,0.2738,0.3176,0.3943,0.4735,0.573,0.7202,0.8268,0.9188
10B,Chinese,layer_10,last,357.6486,40.4497,0.879112,0.1267,0.2682,0.3125,0.3885,0.467,0.5672,0.7151,0.8214,0.9147
10B,Chinese,layer_11,last,381.0799,42.9126,0.856875,0.1191,0.2648,0.3101,0.3848,0.4593,0.5542,0.7002,0.8093,0.9071
10B,Chinese,layer_12,last,406.0427,47.0684,0.842332,0.1129,0.2535,0.2992,0.3753,0.4505,0.5463,0.6934,0.8035,0.9029
10B,Chinese,layer_13,last,425.7713,48.5015,0.826208,0.1125,0.2483,0.2954,0.3716,0.4445,0.5371,0.6827,0.7946,0.8971
10B,Chinese,layer_14,last,452.3136,49.8237,0.804989,0.1102,0.2465,0.2928,0.3671,0.4357,0.5227,0.6651,0.78,0.8881
10B,Chinese,layer_15,last,462.799,50.9349,0.796379,0.1096,0.2415,0.2898,0.3659,0.434,0.5201,0.661,0.7761,0.8852
10B,Chinese,layer_16,last,454.845,48.0795,0.785004,0.1153,0.246,0.2949,0.3722,0.4392,0.523,0.6603,0.7739,0.8829
10B,Chinese,layer_17,last,473.5996,48.9702,0.767072,0.1139,0.2441,0.2931,0.3691,0.4342,0.5153,0.6491,0.7636,0.8762
10B,Chinese,layer_18,last,473.8947,46.9427,0.754732,0.1192,0.2479,0.2961,0.3708,0.435,0.5143,0.6452,0.7589,0.8723
