checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
10B,Arabic,m_mmlu,m_mmlu_ar,0.2714263613861386,5,0.25,208.1951,16.265,0.861684,0.2255,0.3676,0.4126,0.4809,0.5445,0.6219,0.7427,0.8361,0.9203,layer_15,last
21B,Arabic,m_mmlu,m_mmlu_ar,0.2678681930693069,5,0.25,182.265,14.5674,0.849677,0.2115,0.4054,0.4473,0.5067,0.5616,0.6288,0.737,0.8271,0.9144,layer_15,last
31B,Arabic,m_mmlu,m_mmlu_ar,0.2628403465346535,5,0.25,136.672,11.1182,0.836439,0.2524,0.4569,0.4955,0.5509,0.6004,0.6602,0.7562,0.8376,0.9184,layer_15,last
42B,Arabic,m_mmlu,m_mmlu_ar,0.26647586633663367,5,0.25,134.5478,11.0596,0.830167,0.2494,0.4637,0.5009,0.5554,0.6038,0.6618,0.7553,0.8358,0.9169,layer_15,last
52B,Arabic,m_mmlu,m_mmlu_ar,0.2568069306930693,5,0.25,112.0531,9.2045,0.831664,0.2857,0.4898,0.5268,0.5775,0.6227,0.6772,0.7655,0.8421,0.92,layer_15,last
63B,Arabic,m_mmlu,m_mmlu_ar,0.2667079207920792,5,0.25,127.9315,10.7826,0.825782,0.2532,0.4741,0.5147,0.5668,0.6133,0.6688,0.7587,0.8368,0.9169,layer_15,last
73B,Arabic,m_mmlu,m_mmlu_ar,0.26322710396039606,5,0.25,116.8099,9.8323,0.82351,0.262,0.4877,0.5249,0.5755,0.6204,0.6741,0.7617,0.8384,0.9176,layer_15,last
84B,Arabic,m_mmlu,m_mmlu_ar,0.2571936881188119,5,0.25,115.0904,9.8002,0.821213,0.2634,0.4907,0.5269,0.5783,0.6237,0.6777,0.7644,0.8402,0.9183,layer_15,last
94B,Arabic,m_mmlu,m_mmlu_ar,0.26392326732673266,5,0.25,6.2414,1.7407,0.818224,0.755,0.853,0.8652,0.8805,0.8935,0.9088,0.9332,0.9545,0.9766,layer_15,last
105B,Arabic,m_mmlu,m_mmlu_ar,0.2605971534653465,5,0.25,102.7343,8.8584,0.81695,0.2825,0.5087,0.543,0.5927,0.6359,0.6869,0.7703,0.8436,0.9197,layer_15,last
115B,Arabic,m_mmlu,m_mmlu_ar,0.26956992574257427,5,0.25,121.8038,10.4247,0.815687,0.243,0.485,0.5214,0.5732,0.6179,0.6716,0.759,0.8357,0.9156,layer_15,last
126B,Arabic,m_mmlu,m_mmlu_ar,0.27274133663366334,5,0.25,118.4363,10.3078,0.816095,0.2497,0.4912,0.5276,0.5792,0.6238,0.6765,0.7627,0.8383,0.9169,layer_15,last
136B,Arabic,m_mmlu,m_mmlu_ar,0.2635365099009901,5,0.25,109.1698,9.6373,0.808453,0.2686,0.5009,0.5399,0.5928,0.6369,0.688,0.7708,0.8433,0.9189,layer_15,last
147B,Arabic,m_mmlu,m_mmlu_ar,0.27042079207920794,5,0.25,112.2032,10.203,0.811454,0.2464,0.4982,0.5384,0.5915,0.6361,0.6878,0.7706,0.8433,0.9191,layer_15,last
157B,Arabic,m_mmlu,m_mmlu_ar,0.2661664603960396,5,0.25,101.8609,9.2069,0.807443,0.2768,0.5119,0.5511,0.6032,0.6463,0.6962,0.7767,0.8472,0.9209,layer_15,last
168B,Arabic,m_mmlu,m_mmlu_ar,0.26276299504950495,5,0.25,111.5217,9.9642,0.813441,0.253,0.4988,0.5371,0.5899,0.6337,0.6852,0.7687,0.842,0.9185,layer_15,last
178B,Arabic,m_mmlu,m_mmlu_ar,0.26802289603960394,5,0.25,111.0796,10.0888,0.803988,0.2547,0.4999,0.5401,0.5945,0.6384,0.6892,0.7714,0.8434,0.9188,layer_15,last
189B,Arabic,m_mmlu,m_mmlu_ar,0.270884900990099,5,0.25,127.072,11.4551,0.80681,0.2238,0.4808,0.5209,0.5769,0.6228,0.6759,0.7614,0.8367,0.9154,layer_15,last
199B,Arabic,m_mmlu,m_mmlu_ar,0.2698019801980198,5,0.25,117.1397,10.5023,0.799592,0.2424,0.4933,0.5314,0.5866,0.6312,0.6828,0.766,0.8394,0.9163,layer_15,last
210B,Arabic,m_mmlu,m_mmlu_ar,0.2697246287128713,5,0.25,116.1252,10.3733,0.804359,0.2503,0.492,0.5343,0.5887,0.6329,0.6841,0.7671,0.8402,0.917,layer_15,last
220B,Arabic,m_mmlu,m_mmlu_ar,0.26570235148514854,5,0.25,112.5691,10.1464,0.807831,0.2425,0.4968,0.5362,0.5905,0.6348,0.6859,0.7685,0.8413,0.9178,layer_15,last
231B,Arabic,m_mmlu,m_mmlu_ar,0.27011138613861385,5,0.25,109.236,10.0467,0.805945,0.2497,0.5038,0.5425,0.5968,0.6404,0.6912,0.7726,0.844,0.9189,layer_15,last
