checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
10B,Arabic,m_mmlu,m_mmlu_ar,0.2714263613861386,5,0.25,117.9297,13.8114,0.783257,0.2196,0.4905,0.5466,0.6133,0.6625,0.7172,0.7995,0.8647,0.9283,layer_29,last
21B,Arabic,m_mmlu,m_mmlu_ar,0.2678681930693069,5,0.25,76.7132,10.0791,0.781957,0.2296,0.5588,0.6155,0.6764,0.7177,0.7606,0.8263,0.8811,0.9363,layer_29,last
31B,Arabic,m_mmlu,m_mmlu_ar,0.2628403465346535,5,0.25,51.2625,7.635,0.773054,0.284,0.617,0.6733,0.7279,0.7639,0.8001,0.8541,0.8995,0.9457,layer_29,last
42B,Arabic,m_mmlu,m_mmlu_ar,0.26647586633663367,5,0.25,47.2006,7.2942,0.769758,0.2948,0.6259,0.6858,0.7402,0.7753,0.81,0.8609,0.9038,0.9477,layer_29,last
52B,Arabic,m_mmlu,m_mmlu_ar,0.2568069306930693,5,0.25,46.5619,7.3774,0.774378,0.28,0.6278,0.6888,0.7435,0.7777,0.8117,0.8623,0.9048,0.9484,layer_29,last
63B,Arabic,m_mmlu,m_mmlu_ar,0.2667079207920792,5,0.25,37.1904,5.9807,0.765256,0.3394,0.6606,0.7127,0.7621,0.7931,0.8239,0.8704,0.9099,0.9508,layer_29,last
73B,Arabic,m_mmlu,m_mmlu_ar,0.26322710396039606,5,0.25,38.1644,6.4123,0.770991,0.309,0.6573,0.7132,0.7653,0.7971,0.8279,0.8733,0.9119,0.9521,layer_29,last
84B,Arabic,m_mmlu,m_mmlu_ar,0.2571936881188119,5,0.25,36.0935,5.9675,0.767756,0.3357,0.664,0.7173,0.7674,0.7986,0.829,0.8741,0.9124,0.9522,layer_29,last
94B,Arabic,m_mmlu,m_mmlu_ar,0.26392326732673266,5,0.25,32.7147,5.4388,0.754053,0.3615,0.6734,0.7253,0.7753,0.8059,0.8351,0.8783,0.9149,0.9531,layer_29,last
105B,Arabic,m_mmlu,m_mmlu_ar,0.2605971534653465,5,0.25,30.9765,5.592,0.757334,0.3232,0.6888,0.7379,0.7843,0.8133,0.8409,0.8823,0.9176,0.9547,layer_29,last
115B,Arabic,m_mmlu,m_mmlu_ar,0.26956992574257427,5,0.25,27.6162,5.0583,0.747388,0.3558,0.6993,0.7479,0.7931,0.8211,0.8474,0.8867,0.9204,0.9559,layer_29,last
126B,Arabic,m_mmlu,m_mmlu_ar,0.27274133663366334,5,0.25,26.8548,5.0485,0.741357,0.3381,0.7081,0.7531,0.7961,0.8225,0.8479,0.8865,0.92,0.9555,layer_29,last
136B,Arabic,m_mmlu,m_mmlu_ar,0.2635365099009901,5,0.25,27.7494,5.1313,0.722603,0.3359,0.704,0.7501,0.7938,0.8207,0.8463,0.8848,0.9181,0.9538,layer_29,last
147B,Arabic,m_mmlu,m_mmlu_ar,0.27042079207920794,5,0.25,27.0082,5.0272,0.721674,0.3435,0.7107,0.7523,0.795,0.8217,0.8471,0.885,0.9182,0.9538,layer_29,last
157B,Arabic,m_mmlu,m_mmlu_ar,0.2661664603960396,5,0.25,25.2992,4.7585,0.704493,0.3587,0.7172,0.757,0.7994,0.8255,0.85,0.8868,0.9189,0.9535,layer_29,last
168B,Arabic,m_mmlu,m_mmlu_ar,0.26276299504950495,5,0.25,28.3567,5.0447,0.713374,0.3512,0.7044,0.7431,0.7871,0.814,0.84,0.8795,0.914,0.9512,layer_29,last
178B,Arabic,m_mmlu,m_mmlu_ar,0.26802289603960394,5,0.25,22.7076,4.5211,0.712431,0.3614,0.7354,0.7698,0.8084,0.8329,0.8564,0.8916,0.9225,0.956,layer_29,last
189B,Arabic,m_mmlu,m_mmlu_ar,0.270884900990099,5,0.25,19.5918,4.1371,0.699476,0.3955,0.7548,0.7863,0.8215,0.8435,0.8651,0.8978,0.9265,0.9578,layer_29,last
199B,Arabic,m_mmlu,m_mmlu_ar,0.2698019801980198,5,0.25,19.7929,4.0255,0.70653,0.4265,0.7505,0.7837,0.8186,0.841,0.8629,0.8962,0.9256,0.9575,layer_29,last
210B,Arabic,m_mmlu,m_mmlu_ar,0.2697246287128713,5,0.25,17.7461,3.6595,0.70915,0.473,0.7623,0.7942,0.828,0.8498,0.8706,0.902,0.9297,0.9599,layer_29,last
220B,Arabic,m_mmlu,m_mmlu_ar,0.26570235148514854,5,0.25,18.5165,3.6598,0.713381,0.4805,0.7576,0.7885,0.8225,0.8444,0.866,0.899,0.9279,0.9591,layer_29,last
231B,Arabic,m_mmlu,m_mmlu_ar,0.27011138613861385,5,0.25,16.4371,3.4697,0.710995,0.491,0.7733,0.8009,0.8318,0.8525,0.8728,0.904,0.9313,0.961,layer_29,last
