checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
10B,Arabic,belebele,belebele_arb_Arab,0.22111111111111112,5,0.25,248.959,19.6901,0.787631,0.192,0.3631,0.4056,0.4702,0.5264,0.5954,0.7081,0.8047,0.899,layer_21,last
21B,Arabic,belebele,belebele_arb_Arab,0.2722222222222222,5,0.25,227.1693,18.3561,0.783035,0.1965,0.3821,0.4293,0.4932,0.5462,0.6101,0.7129,0.8031,0.8965,layer_21,last
31B,Arabic,belebele,belebele_arb_Arab,0.2477777777777778,5,0.25,202.3848,16.9439,0.77502,0.2014,0.4042,0.4512,0.5139,0.566,0.6274,0.7244,0.8096,0.8987,layer_21,last
42B,Arabic,belebele,belebele_arb_Arab,0.2611111111111111,5,0.25,203.754,17.0766,0.773578,0.1993,0.4031,0.4484,0.514,0.5669,0.6282,0.7248,0.8092,0.8981,layer_21,last
52B,Arabic,belebele,belebele_arb_Arab,0.27111111111111114,5,0.25,194.7383,15.7593,0.775159,0.2204,0.4084,0.4562,0.5208,0.5726,0.633,0.728,0.8113,0.8992,layer_21,last
63B,Arabic,belebele,belebele_arb_Arab,0.2788888888888889,5,0.25,198.2764,17.4987,0.775955,0.1873,0.4073,0.458,0.5225,0.5742,0.6344,0.729,0.8118,0.8993,layer_21,last
73B,Arabic,belebele,belebele_arb_Arab,0.2677777777777778,5,0.25,189.7756,16.0175,0.774014,0.2076,0.4137,0.4611,0.5263,0.5782,0.638,0.7315,0.8132,0.8999,layer_21,last
84B,Arabic,belebele,belebele_arb_Arab,0.2811111111111111,5,0.25,188.2563,16.4947,0.777535,0.1988,0.4156,0.4631,0.5291,0.5816,0.6419,0.735,0.816,0.9015,layer_21,last
94B,Arabic,belebele,belebele_arb_Arab,0.27111111111111114,5,0.25,19.0562,2.8501,0.773864,0.5851,0.7332,0.7572,0.7894,0.8134,0.8403,0.8818,0.9178,0.9558,layer_21,last
105B,Arabic,belebele,belebele_arb_Arab,0.2822222222222222,5,0.25,175.913,15.3281,0.775016,0.2109,0.4265,0.4737,0.5391,0.5906,0.6494,0.7405,0.8197,0.9034,layer_21,last
115B,Arabic,belebele,belebele_arb_Arab,0.29,5,0.25,184.9745,16.2014,0.77036,0.211,0.418,0.4677,0.5349,0.5874,0.6465,0.7381,0.8176,0.9018,layer_21,last
126B,Arabic,belebele,belebele_arb_Arab,0.28888888888888886,5,0.25,175.5594,15.9807,0.771952,0.2084,0.4285,0.4786,0.5449,0.5963,0.654,0.7438,0.8216,0.9041,layer_21,last
136B,Arabic,belebele,belebele_arb_Arab,0.26555555555555554,5,0.25,162.1774,15.7089,0.767171,0.2022,0.4387,0.4919,0.5619,0.613,0.6694,0.7555,0.8296,0.9079,layer_21,last
147B,Arabic,belebele,belebele_arb_Arab,0.29888888888888887,5,0.25,142.263,14.3349,0.763046,0.1988,0.4624,0.515,0.5818,0.6305,0.6841,0.7662,0.8367,0.9114,layer_21,last
157B,Arabic,belebele,belebele_arb_Arab,0.24,5,0.25,135.7749,14.3744,0.774484,0.2043,0.4661,0.524,0.5919,0.6413,0.6947,0.7758,0.8444,0.9163,layer_21,last
168B,Arabic,belebele,belebele_arb_Arab,0.2777777777777778,5,0.25,130.0616,13.3031,0.765202,0.2134,0.4795,0.5305,0.5941,0.6414,0.693,0.7728,0.8414,0.9142,layer_21,last
178B,Arabic,belebele,belebele_arb_Arab,0.2633333333333333,5,0.25,119.2976,12.1717,0.762168,0.2335,0.4921,0.5426,0.6057,0.6515,0.7023,0.7799,0.8465,0.9167,layer_21,last
189B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,125.786,12.6202,0.751641,0.232,0.484,0.536,0.5992,0.6458,0.6966,0.7747,0.8418,0.9133,layer_21,last
199B,Arabic,belebele,belebele_arb_Arab,0.2822222222222222,5,0.25,85.3675,8.8257,0.764282,0.2958,0.5441,0.5884,0.6454,0.6863,0.7318,0.8016,0.8617,0.9251,layer_21,last
210B,Arabic,belebele,belebele_arb_Arab,0.2822222222222222,5,0.25,90.7128,9.6086,0.759951,0.2732,0.5353,0.5838,0.6412,0.6823,0.728,0.7982,0.8588,0.9231,layer_21,last
220B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,73.7083,7.7774,0.754769,0.3215,0.5648,0.6101,0.6633,0.7018,0.7445,0.8103,0.867,0.9274,layer_21,last
231B,Arabic,belebele,belebele_arb_Arab,0.26,5,0.25,109.137,11.2924,0.761738,0.2454,0.5073,0.5567,0.6175,0.6618,0.7108,0.7862,0.8509,0.9191,layer_21,last
