checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,English,layer_0,last,10.3301,3.6957,1.05414,0.4847,0.7776,0.8529,0.9245,0.9517,0.973,0.9914,0.998,1.0
10B,English,layer_1,last,30.7074,5.8041,0.95426,0.3973,0.5812,0.6521,0.7557,0.8314,0.8994,0.9658,0.9918,1.0
10B,English,layer_2,last,20.9568,3.9919,0.898807,0.4905,0.6526,0.7106,0.7934,0.8536,0.9079,0.9647,0.9904,1.0
10B,English,layer_3,last,12.0142,2.664,0.86223,0.6079,0.7325,0.7785,0.8414,0.8864,0.927,0.9704,0.9914,1.0
10B,English,layer_4,last,9.4253,2.316,0.826731,0.6535,0.7671,0.8075,0.8618,0.9008,0.9358,0.9731,0.9918,1.0
10B,English,layer_5,last,9.6079,2.3174,0.822856,0.6535,0.7622,0.8038,0.8593,0.8985,0.9334,0.9714,0.991,1.0
10B,English,layer_6,last,10.6742,2.4309,0.802071,0.6378,0.7475,0.791,0.8489,0.8899,0.9267,0.9675,0.9895,0.9999
10B,English,layer_7,last,16.3022,3.0306,0.779437,0.57,0.6813,0.7322,0.8043,0.8575,0.9051,0.9579,0.9862,0.9999
10B,English,layer_8,last,21.8633,3.6105,0.762422,0.521,0.6368,0.6918,0.7726,0.8333,0.888,0.9492,0.9829,0.9999
10B,English,layer_9,last,30.9479,4.6377,0.76821,0.457,0.5845,0.6443,0.7344,0.8043,0.8678,0.9397,0.9795,0.9999
10B,English,layer_10,last,52.4151,7.2809,0.751943,0.3609,0.4871,0.5572,0.6655,0.7566,0.8401,0.9275,0.975,0.9999
10B,English,layer_11,last,66.4223,9.3224,0.752357,0.3155,0.4499,0.5225,0.6365,0.7311,0.8205,0.9174,0.9711,0.9998
10B,English,layer_12,last,111.2625,20.0775,0.74037,0.2031,0.3359,0.4206,0.5591,0.6804,0.7939,0.9057,0.9666,0.9998
10B,English,layer_13,last,134.3684,27.6619,0.723221,0.1653,0.2991,0.3873,0.5307,0.6542,0.773,0.8944,0.9618,0.9998
10B,English,layer_14,last,144.6893,28.4604,0.690167,0.1626,0.2981,0.3837,0.5221,0.6368,0.751,0.879,0.9549,0.9997
10B,English,layer_15,last,156.401,36.2482,0.689996,0.1341,0.2763,0.3705,0.5157,0.6336,0.7474,0.877,0.9541,0.9997
10B,English,layer_16,last,166.6872,44.3989,0.686095,0.1096,0.2589,0.3572,0.5098,0.6307,0.7436,0.874,0.9527,0.9997
10B,English,layer_17,last,170.3731,47.4063,0.676939,0.0993,0.255,0.3562,0.5105,0.6297,0.7403,0.8702,0.9507,0.9997
10B,English,layer_18,last,180.177,51.5607,0.66253,0.0882,0.248,0.3501,0.5013,0.6187,0.7294,0.8619,0.9468,0.9996
10B,English,layer_19,last,189.0494,56.0409,0.651769,0.077,0.2394,0.3425,0.4942,0.6105,0.721,0.8552,0.9436,0.9996
10B,English,layer_20,last,198.6137,61.1606,0.64398,0.0655,0.2284,0.3314,0.4847,0.6017,0.7136,0.8495,0.9408,0.9996
10B,English,layer_21,last,221.5214,68.186,0.629156,0.0602,0.2154,0.3123,0.459,0.5736,0.6869,0.8335,0.9347,0.9996
10B,English,layer_22,last,224.3935,67.3305,0.628876,0.0692,0.2167,0.3102,0.4536,0.5662,0.6817,0.8324,0.9342,0.9996
10B,English,layer_23,last,227.0921,65.8709,0.624993,0.0745,0.2211,0.3109,0.4493,0.5601,0.6752,0.8289,0.933,0.9995
10B,English,layer_24,last,232.7806,67.3074,0.628865,0.0755,0.2195,0.3037,0.438,0.5505,0.6698,0.8284,0.9333,0.9996
10B,English,layer_25,last,222.6016,64.2899,0.639469,0.079,0.2231,0.3075,0.4461,0.5624,0.6825,0.8372,0.937,0.9996
10B,English,layer_26,last,215.4895,65.2794,0.659225,0.0768,0.2197,0.3073,0.449,0.5718,0.6957,0.8486,0.9424,0.9996
10B,English,layer_27,last,202.7625,59.6145,0.668193,0.0835,0.2308,0.3208,0.4624,0.5851,0.7072,0.8557,0.9455,0.9996
10B,English,layer_28,last,185.4078,51.595,0.678385,0.095,0.2492,0.3413,0.4825,0.6028,0.7217,0.8646,0.9493,0.9997
10B,English,layer_29,last,171.0734,44.8519,0.682777,0.1071,0.2671,0.3608,0.5008,0.6179,0.7328,0.8705,0.9516,0.9997
10B,English,layer_0,mean,154.954,42.2355,0.920095,0.1273,0.2346,0.3111,0.4618,0.6092,0.7648,0.9238,0.9819,0.9999
10B,English,layer_1,mean,140.2902,30.9998,0.875195,0.1588,0.2614,0.3388,0.4875,0.6282,0.7735,0.9194,0.9776,0.9999
10B,English,layer_2,mean,135.8444,22.897,0.786053,0.1942,0.2907,0.3621,0.4949,0.6213,0.7546,0.9006,0.9693,0.9998
10B,English,layer_3,mean,130.8122,19.4995,0.74514,0.2138,0.3091,0.3793,0.5063,0.6233,0.7473,0.8902,0.9639,0.9998
10B,English,layer_4,mean,136.1027,20.3294,0.719337,0.2085,0.3067,0.3794,0.5059,0.6191,0.7393,0.8816,0.9595,0.9998
10B,English,layer_5,mean,145.3184,22.9672,0.700353,0.1933,0.2977,0.3747,0.5024,0.6139,0.7313,0.8738,0.9556,0.9997
10B,English,layer_6,mean,160.4173,26.1341,0.682424,0.1791,0.2857,0.36,0.4844,0.596,0.7147,0.8627,0.9508,0.9997
10B,English,layer_7,mean,176.144,31.9414,0.687582,0.1576,0.2664,0.3429,0.4722,0.5861,0.706,0.8558,0.9473,0.9997
