checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
10B,Arabic,m_mmlu,m_mmlu_ar,0.2714263613861386,5,0.25,326.5751,23.6738,0.642192,0.1708,0.3399,0.3831,0.4441,0.4968,0.5604,0.6653,0.7594,0.859,layer_29,last
21B,Arabic,m_mmlu,m_mmlu_ar,0.2678681930693069,5,0.25,247.8467,18.2522,0.617082,0.1886,0.3945,0.44,0.4959,0.5419,0.5964,0.6871,0.7703,0.8616,layer_29,last
31B,Arabic,m_mmlu,m_mmlu_ar,0.2628403465346535,5,0.25,181.5111,14.1169,0.609808,0.2189,0.4444,0.4944,0.5464,0.5878,0.6361,0.7159,0.7897,0.8721,layer_29,last
42B,Arabic,m_mmlu,m_mmlu_ar,0.26647586633663367,5,0.25,156.6207,12.6791,0.604369,0.2387,0.4654,0.5205,0.5718,0.6114,0.657,0.7312,0.7999,0.8775,layer_29,last
52B,Arabic,m_mmlu,m_mmlu_ar,0.2568069306930693,5,0.25,137.6963,11.6385,0.60216,0.2435,0.4887,0.541,0.5896,0.6274,0.6706,0.7411,0.8069,0.8814,layer_29,last
63B,Arabic,m_mmlu,m_mmlu_ar,0.2667079207920792,5,0.25,128.3937,10.8688,0.596924,0.2536,0.5005,0.5514,0.5981,0.6346,0.6763,0.7448,0.809,0.8821,layer_29,last
73B,Arabic,m_mmlu,m_mmlu_ar,0.26322710396039606,5,0.25,120.4225,10.5796,0.597038,0.2552,0.5108,0.5618,0.6086,0.6446,0.6854,0.7519,0.8141,0.8852,layer_29,last
84B,Arabic,m_mmlu,m_mmlu_ar,0.2571936881188119,5,0.25,113.1477,9.8508,0.595247,0.2698,0.5189,0.5689,0.6149,0.6502,0.6904,0.7556,0.8167,0.8866,layer_29,last
94B,Arabic,m_mmlu,m_mmlu_ar,0.26392326732673266,5,0.25,102.7996,9.1641,0.591528,0.2788,0.5321,0.5819,0.627,0.6614,0.6998,0.7626,0.8215,0.8892,layer_29,last
105B,Arabic,m_mmlu,m_mmlu_ar,0.2605971534653465,5,0.25,96.8562,8.7832,0.590425,0.2835,0.541,0.5901,0.6342,0.6677,0.7054,0.7666,0.8242,0.8907,layer_29,last
115B,Arabic,m_mmlu,m_mmlu_ar,0.26956992574257427,5,0.25,87.8368,8.1011,0.586452,0.3033,0.5537,0.6038,0.6468,0.6789,0.715,0.7738,0.8293,0.8934,layer_29,last
126B,Arabic,m_mmlu,m_mmlu_ar,0.27274133663366334,5,0.25,80.575,7.4681,0.581472,0.3167,0.5663,0.613,0.6541,0.6851,0.7198,0.7768,0.831,0.8941,layer_29,last
136B,Arabic,m_mmlu,m_mmlu_ar,0.2635365099009901,5,0.25,75.3379,7.264,0.576816,0.3209,0.5769,0.6236,0.6647,0.6949,0.7285,0.7832,0.8352,0.8962,layer_29,last
147B,Arabic,m_mmlu,m_mmlu_ar,0.27042079207920794,5,0.25,74.0429,6.9831,0.576237,0.3313,0.5795,0.6219,0.6633,0.6936,0.7273,0.7821,0.8343,0.8956,layer_29,last
157B,Arabic,m_mmlu,m_mmlu_ar,0.2661664603960396,5,0.25,67.4358,6.4042,0.574076,0.3546,0.5909,0.6322,0.6722,0.7018,0.7345,0.7877,0.8384,0.8979,layer_29,last
168B,Arabic,m_mmlu,m_mmlu_ar,0.26276299504950495,5,0.25,68.6701,6.4904,0.57379,0.3466,0.5896,0.6284,0.6684,0.698,0.7311,0.7849,0.8362,0.8966,layer_29,last
178B,Arabic,m_mmlu,m_mmlu_ar,0.26802289603960394,5,0.25,57.5222,5.6523,0.57578,0.3836,0.6103,0.6481,0.6867,0.7152,0.7468,0.7978,0.846,0.9029,layer_29,last
189B,Arabic,m_mmlu,m_mmlu_ar,0.270884900990099,5,0.25,49.6592,5.2208,0.570547,0.3999,0.6307,0.6678,0.7041,0.7303,0.7596,0.8073,0.8528,0.9068,layer_29,last
199B,Arabic,m_mmlu,m_mmlu_ar,0.2698019801980198,5,0.25,48.5764,5.1335,0.572743,0.404,0.6329,0.6701,0.7054,0.7315,0.7607,0.8085,0.854,0.9077,layer_29,last
210B,Arabic,m_mmlu,m_mmlu_ar,0.2697246287128713,5,0.25,43.9812,4.8136,0.57053,0.4198,0.6479,0.6812,0.7144,0.7395,0.7678,0.8138,0.8578,0.91,layer_29,last
220B,Arabic,m_mmlu,m_mmlu_ar,0.26570235148514854,5,0.25,40.2715,4.5119,0.570841,0.4363,0.659,0.689,0.7206,0.7448,0.7724,0.8176,0.8609,0.9121,layer_29,last
231B,Arabic,m_mmlu,m_mmlu_ar,0.27011138613861385,5,0.25,35.104,4.2799,0.57129,0.4428,0.6769,0.7047,0.7346,0.7575,0.7838,0.8269,0.8681,0.9166,layer_29,last
241B,Arabic,m_mmlu,m_mmlu_ar,0.2633818069306931,5,0.25,32.8574,4.0058,0.571207,0.468,0.6835,0.7108,0.7402,0.7626,0.7882,0.8303,0.8706,0.9182,layer_29,last
252B,Arabic,m_mmlu,m_mmlu_ar,0.26848700495049505,5,0.25,50.0877,5.2943,0.580353,0.4003,0.6265,0.6662,0.7059,0.7343,0.7649,0.813,0.8578,0.9103,layer_29,last
262B,Arabic,m_mmlu,m_mmlu_ar,0.2677134900990099,5,0.25,59.347,5.9772,0.584724,0.3744,0.602,0.6465,0.6907,0.7216,0.7545,0.8053,0.8523,0.907,layer_29,last
273B,Arabic,m_mmlu,m_mmlu_ar,0.2711943069306931,5,0.25,70.0816,6.8731,0.584533,0.3474,0.5786,0.6292,0.6778,0.7111,0.7457,0.7987,0.8471,0.9035,layer_29,last
10B,Chinese,m_mmlu,m_mmlu_zh,0.2721610330421572,5,0.25,348.8359,17.332,0.608624,0.2337,0.3164,0.3611,0.4241,0.4764,0.5372,0.6388,0.7335,0.8394,layer_29,last
21B,Chinese,m_mmlu,m_mmlu_zh,0.27102164830991265,5,0.25,180.8139,8.9799,0.589774,0.328,0.4228,0.4642,0.5185,0.5617,0.6117,0.6944,0.7713,0.8589,layer_29,last
31B,Chinese,m_mmlu,m_mmlu_zh,0.254310672236992,5,0.25,141.2267,7.4122,0.584224,0.3622,0.4597,0.5021,0.5531,0.593,0.6388,0.7145,0.7854,0.8666,layer_29,last
42B,Chinese,m_mmlu,m_mmlu_zh,0.2586403342195215,5,0.25,97.6797,5.7476,0.581916,0.4129,0.5127,0.5537,0.601,0.6371,0.6779,0.745,0.8077,0.88,layer_29,last
52B,Chinese,m_mmlu,m_mmlu_zh,0.26213444739840486,5,0.25,91.4038,5.5737,0.581897,0.4191,0.5223,0.5643,0.6106,0.6457,0.6855,0.7509,0.812,0.8826,layer_29,last
63B,Chinese,m_mmlu,m_mmlu_zh,0.2702620584884163,5,0.25,78.7313,5.0122,0.580192,0.4428,0.5417,0.5831,0.627,0.6608,0.6985,0.7609,0.8193,0.887,layer_29,last
73B,Chinese,m_mmlu,m_mmlu_zh,0.25339916445119637,5,0.25,70.5322,4.7173,0.578438,0.4565,0.559,0.598,0.6406,0.673,0.7091,0.7686,0.8249,0.8903,layer_29,last
84B,Chinese,m_mmlu,m_mmlu_zh,0.2557538928978352,5,0.25,63.7829,4.4234,0.576915,0.4719,0.5721,0.6101,0.6514,0.6829,0.7179,0.7755,0.8298,0.8932,layer_29,last
94B,Chinese,m_mmlu,m_mmlu_zh,0.26965438663121916,5,0.25,60.0764,4.3086,0.574086,0.478,0.5835,0.6198,0.6597,0.6901,0.7238,0.7796,0.8325,0.8946,layer_29,last
105B,Chinese,m_mmlu,m_mmlu_zh,0.2584884162552222,5,0.25,67.4792,4.6172,0.575362,0.4613,0.5676,0.6051,0.6465,0.6782,0.7136,0.7718,0.8268,0.8911,layer_29,last
115B,Chinese,m_mmlu,m_mmlu_zh,0.27200911507785797,5,0.25,58.9921,4.2758,0.572201,0.4798,0.5866,0.6224,0.6621,0.6925,0.726,0.781,0.8333,0.8949,layer_29,last
126B,Chinese,m_mmlu,m_mmlu_zh,0.262742119255602,5,0.25,53.6725,4.0226,0.566595,0.4949,0.6003,0.6342,0.6717,0.7005,0.7322,0.7847,0.8354,0.8958,layer_29,last
136B,Chinese,m_mmlu,m_mmlu_zh,0.26767945309532853,5,0.25,54.4999,4.324,0.566512,0.4748,0.606,0.6398,0.6776,0.7065,0.738,0.7894,0.8389,0.8979,layer_29,last
147B,Chinese,m_mmlu,m_mmlu_zh,0.27102164830991265,5,0.25,52.3322,4.0874,0.562651,0.4898,0.6086,0.6418,0.6785,0.7065,0.7374,0.7881,0.8375,0.8967,layer_29,last
157B,Chinese,m_mmlu,m_mmlu_zh,0.2594758830231675,5,0.25,57.2779,4.5706,0.558803,0.4592,0.6048,0.6371,0.6742,0.7027,0.7338,0.7849,0.8347,0.8945,layer_29,last
168B,Chinese,m_mmlu,m_mmlu_zh,0.25826053930877324,5,0.25,59.4475,4.4077,0.56337,0.4711,0.5932,0.6263,0.6649,0.6942,0.7263,0.7792,0.8308,0.8925,layer_29,last
178B,Chinese,m_mmlu,m_mmlu_zh,0.27284466388150397,5,0.25,51.7179,4.0512,0.561581,0.492,0.6103,0.6427,0.6793,0.7072,0.7378,0.7882,0.8374,0.8966,layer_29,last
189B,Chinese,m_mmlu,m_mmlu_zh,0.264641093809343,5,0.25,49.094,3.9404,0.557284,0.4989,0.6177,0.6492,0.6853,0.7126,0.7422,0.7913,0.8393,0.8973,layer_29,last
199B,Chinese,m_mmlu,m_mmlu_zh,0.2717052791492594,5,0.25,51.589,3.9291,0.559015,0.5005,0.6075,0.6386,0.6756,0.7036,0.7343,0.7849,0.8346,0.8946,layer_29,last
210B,Chinese,m_mmlu,m_mmlu_zh,0.25415875427269274,5,0.25,54.2167,4.0122,0.557924,0.4952,0.6003,0.6312,0.6685,0.6972,0.7288,0.7805,0.8311,0.8922,layer_29,last
220B,Chinese,m_mmlu,m_mmlu_zh,0.2699582225598177,5,0.25,48.2426,3.7642,0.559751,0.5115,0.6135,0.6442,0.6807,0.7086,0.739,0.7889,0.8378,0.8967,layer_29,last
231B,Chinese,m_mmlu,m_mmlu_zh,0.26631219141663504,5,0.25,46.2422,3.6378,0.562906,0.521,0.6177,0.6474,0.6828,0.7107,0.7413,0.7914,0.84,0.8983,layer_29,last
241B,Chinese,m_mmlu,m_mmlu_zh,0.2641853399164451,5,0.25,51.7979,3.9198,0.559291,0.5009,0.6057,0.6363,0.6734,0.7017,0.7327,0.7838,0.8338,0.8941,layer_29,last
252B,Chinese,m_mmlu,m_mmlu_zh,0.2703380174705659,5,0.25,58.3623,4.445,0.561271,0.4683,0.5963,0.63,0.6696,0.6996,0.7312,0.7826,0.8327,0.8933,layer_29,last
262B,Chinese,m_mmlu,m_mmlu_zh,0.26479301177364223,5,0.25,56.2906,4.4009,0.562157,0.4705,0.6011,0.6353,0.6753,0.7051,0.7363,0.787,0.8361,0.8954,layer_29,last
273B,Chinese,m_mmlu,m_mmlu_zh,0.2683630839346753,5,0.25,59.1027,4.7555,0.561681,0.4502,0.598,0.6342,0.676,0.7065,0.7381,0.7885,0.8371,0.8958,layer_29,last
283B,Chinese,m_mmlu,m_mmlu_zh,0.25567793391568555,5,0.25,55.7245,4.6538,0.562137,0.4549,0.6064,0.6435,0.6843,0.7142,0.7449,0.7938,0.8411,0.8984,layer_29,last
294B,Chinese,m_mmlu,m_mmlu_zh,0.2575769084694265,5,0.25,53.9804,4.5906,0.561919,0.4576,0.6114,0.6477,0.6876,0.7171,0.7475,0.7961,0.843,0.8995,layer_29,last
304B,Chinese,m_mmlu,m_mmlu_zh,0.25977971895176605,5,0.25,66.3734,5.2539,0.559788,0.4262,0.5844,0.6238,0.667,0.6986,0.731,0.7826,0.8322,0.8923,layer_29,last
315B,Chinese,m_mmlu,m_mmlu_zh,0.2702620584884163,5,0.25,58.4874,4.8501,0.556759,0.4443,0.6013,0.6388,0.6805,0.7108,0.7417,0.7907,0.8381,0.8958,layer_29,last
325B,Chinese,m_mmlu,m_mmlu_zh,0.2643372578807444,5,0.25,59.5115,4.6721,0.552271,0.4551,0.5933,0.6323,0.6744,0.7047,0.7357,0.7852,0.8334,0.8925,layer_29,last
334B,Chinese,m_mmlu,m_mmlu_zh,0.27292062286365365,5,0.25,57.1011,4.6363,0.554274,0.4565,0.6007,0.6395,0.6809,0.7109,0.7414,0.7901,0.8373,0.8951,layer_29,last
342B,Chinese,m_mmlu,m_mmlu_zh,0.2680592480060767,5,0.25,58.3077,4.7268,0.554993,0.4516,0.5981,0.6373,0.6792,0.7097,0.7406,0.7894,0.8368,0.8948,layer_29,last
