checkpoint,language,task,lm_task_name,accuracy,num_fewshot,random_chance,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var,rankme_layer,rankme_aggregation
10B,Arabic,belebele,belebele_arb_Arab,0.22111111111111112,5,0.25,883.983,165.3445,0.699195,0.0572,0.1246,0.161,0.2323,0.3087,0.41,0.5765,0.7121,0.8418,layer_15,last
21B,Arabic,belebele,belebele_arb_Arab,0.2722222222222222,5,0.25,859.2126,80.9078,0.656971,0.1027,0.1546,0.187,0.2473,0.3125,0.399,0.5468,0.679,0.8169,layer_15,last
31B,Arabic,belebele,belebele_arb_Arab,0.2477777777777778,5,0.25,808.0841,57.4804,0.640972,0.1259,0.1729,0.2031,0.2596,0.3208,0.4023,0.542,0.6707,0.8092,layer_15,last
42B,Arabic,belebele,belebele_arb_Arab,0.2611111111111111,5,0.25,754.3733,44.5753,0.628361,0.145,0.1902,0.219,0.2725,0.3304,0.408,0.5417,0.667,0.8049,layer_15,last
52B,Arabic,belebele,belebele_arb_Arab,0.27111111111111114,5,0.25,673.1703,33.4088,0.622697,0.1693,0.2115,0.2389,0.2898,0.3456,0.42,0.5485,0.67,0.8055,layer_15,last
63B,Arabic,belebele,belebele_arb_Arab,0.2788888888888889,5,0.25,630.4871,28.9495,0.617772,0.1825,0.2246,0.2511,0.3006,0.3546,0.4268,0.5521,0.6712,0.8053,layer_15,last
73B,Arabic,belebele,belebele_arb_Arab,0.2677777777777778,5,0.25,586.3867,25.4138,0.61336,0.1953,0.2382,0.2645,0.313,0.3657,0.4361,0.5578,0.6742,0.8062,layer_15,last
84B,Arabic,belebele,belebele_arb_Arab,0.2811111111111111,5,0.25,578.8778,24.966,0.612726,0.1971,0.2406,0.2668,0.3154,0.3683,0.4384,0.5594,0.675,0.8064,layer_15,last
94B,Arabic,belebele,belebele_arb_Arab,0.27111111111111114,5,0.25,565.9625,23.4884,0.607473,0.2035,0.2462,0.2714,0.3188,0.3705,0.4391,0.558,0.6728,0.8043,layer_15,last
105B,Arabic,belebele,belebele_arb_Arab,0.2822222222222222,5,0.25,528.853,21.2054,0.606714,0.2145,0.2573,0.2825,0.3293,0.3801,0.4476,0.5644,0.6772,0.8066,layer_15,last
115B,Arabic,belebele,belebele_arb_Arab,0.29,5,0.25,527.8296,21.0512,0.605329,0.2153,0.2581,0.2834,0.3297,0.3803,0.4474,0.5638,0.6763,0.806,layer_15,last
126B,Arabic,belebele,belebele_arb_Arab,0.28888888888888886,5,0.25,533.4636,21.5522,0.60405,0.2126,0.2579,0.2832,0.3297,0.38,0.4469,0.5632,0.6754,0.8051,layer_15,last
136B,Arabic,belebele,belebele_arb_Arab,0.26555555555555554,5,0.25,547.3369,22.4411,0.601781,0.2081,0.2546,0.2804,0.3273,0.3777,0.4444,0.5605,0.6729,0.8031,layer_15,last
147B,Arabic,belebele,belebele_arb_Arab,0.29888888888888887,5,0.25,537.4417,21.9571,0.601044,0.2104,0.2581,0.2839,0.3309,0.381,0.4475,0.5627,0.6742,0.8037,layer_15,last
157B,Arabic,belebele,belebele_arb_Arab,0.24,5,0.25,535.2683,21.8221,0.600618,0.211,0.2593,0.2853,0.3321,0.3816,0.4476,0.5625,0.674,0.8035,layer_15,last
168B,Arabic,belebele,belebele_arb_Arab,0.2777777777777778,5,0.25,525.5975,21.3563,0.600575,0.2133,0.2625,0.2886,0.3351,0.3846,0.4505,0.5647,0.6755,0.8044,layer_15,last
178B,Arabic,belebele,belebele_arb_Arab,0.2633333333333333,5,0.25,519.4233,21.0464,0.599675,0.2149,0.2646,0.2912,0.3375,0.3868,0.4521,0.5659,0.6765,0.8047,layer_15,last
189B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,534.6495,21.9531,0.596563,0.2102,0.2617,0.2881,0.3347,0.3839,0.449,0.5622,0.6728,0.802,layer_15,last
199B,Arabic,belebele,belebele_arb_Arab,0.2822222222222222,5,0.25,519.2119,21.1099,0.596321,0.2145,0.2659,0.2928,0.3395,0.3885,0.4532,0.5657,0.6753,0.8034,layer_15,last
210B,Arabic,belebele,belebele_arb_Arab,0.2822222222222222,5,0.25,561.9947,23.5398,0.592673,0.2026,0.2555,0.282,0.3285,0.3774,0.4422,0.5558,0.6673,0.7981,layer_15,last
220B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,519.3657,21.1244,0.594329,0.2143,0.2673,0.2945,0.3406,0.3888,0.4529,0.5647,0.6742,0.8025,layer_15,last
231B,Arabic,belebele,belebele_arb_Arab,0.26,5,0.25,528.9701,21.8427,0.593145,0.2105,0.265,0.2925,0.3391,0.3876,0.4515,0.5633,0.6729,0.8014,layer_15,last
241B,Arabic,belebele,belebele_arb_Arab,0.2733333333333333,5,0.25,542.1172,22.7842,0.591897,0.2059,0.2616,0.2893,0.3365,0.3853,0.4494,0.5614,0.6712,0.8001,layer_15,last
252B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,485.3309,19.7557,0.593899,0.2215,0.2797,0.3072,0.3537,0.4014,0.4642,0.5734,0.6801,0.8056,layer_15,last
262B,Arabic,belebele,belebele_arb_Arab,0.2611111111111111,5,0.25,503.5696,20.7161,0.591894,0.2161,0.2746,0.3022,0.3486,0.3964,0.4595,0.569,0.6764,0.803,layer_15,last
273B,Arabic,belebele,belebele_arb_Arab,0.27444444444444444,5,0.25,545.7928,23.5771,0.591859,0.2018,0.2623,0.2903,0.3375,0.3864,0.4506,0.5621,0.6712,0.7998,layer_15,last
283B,Arabic,belebele,belebele_arb_Arab,0.28,5,0.25,559.1449,24.5491,0.591159,0.1975,0.2587,0.2867,0.3346,0.3839,0.4483,0.5599,0.6692,0.7984,layer_15,last
294B,Arabic,belebele,belebele_arb_Arab,0.26555555555555554,5,0.25,612.6793,28.5961,0.589143,0.1822,0.2445,0.2734,0.322,0.3719,0.4373,0.5509,0.6622,0.7939,layer_15,last
304B,Arabic,belebele,belebele_arb_Arab,0.2922222222222222,5,0.25,563.4634,25.0737,0.591771,0.1953,0.2576,0.286,0.3341,0.3834,0.448,0.5598,0.6692,0.7985,layer_15,last
315B,Arabic,belebele,belebele_arb_Arab,0.2677777777777778,5,0.25,574.7106,25.9468,0.591809,0.1917,0.2549,0.2833,0.3313,0.3807,0.4455,0.5578,0.6677,0.7976,layer_15,last
325B,Arabic,belebele,belebele_arb_Arab,0.29555555555555557,5,0.25,590.3261,27.4068,0.59173,0.1861,0.2503,0.2793,0.3281,0.3781,0.4435,0.5564,0.6666,0.7967,layer_15,last
334B,Arabic,belebele,belebele_arb_Arab,0.28444444444444444,5,0.25,583.4769,26.7516,0.591624,0.1886,0.2523,0.2812,0.3298,0.3794,0.4443,0.5569,0.6669,0.797,layer_15,last
342B,Arabic,belebele,belebele_arb_Arab,0.27111111111111114,5,0.25,583.754,26.9267,0.592516,0.1879,0.2522,0.2811,0.3298,0.3795,0.4446,0.5573,0.6674,0.7974,layer_15,last
352B,Arabic,belebele,belebele_arb_Arab,0.2611111111111111,5,0.25,580.7394,26.7646,0.592983,0.1884,0.253,0.282,0.3306,0.3804,0.4454,0.558,0.668,0.7978,layer_15,last
363B,Arabic,belebele,belebele_arb_Arab,0.2911111111111111,5,0.25,597.8519,28.2239,0.591675,0.1831,0.2489,0.2781,0.327,0.377,0.4423,0.5552,0.6656,0.7961,layer_15,last
373B,Arabic,belebele,belebele_arb_Arab,0.27555555555555555,5,0.25,588.8528,27.3893,0.592807,0.1861,0.2511,0.28,0.3286,0.3785,0.4437,0.5565,0.6668,0.7971,layer_15,last
384B,Arabic,belebele,belebele_arb_Arab,0.2788888888888889,5,0.25,589.4206,27.3779,0.59269,0.1862,0.2511,0.2798,0.3283,0.3782,0.4434,0.556,0.6663,0.7968,layer_15,last
394B,Arabic,belebele,belebele_arb_Arab,0.2777777777777778,5,0.25,590.7007,27.6946,0.59271,0.1849,0.2507,0.2795,0.3286,0.3787,0.4439,0.5566,0.6667,0.797,layer_15,last
405B,Arabic,belebele,belebele_arb_Arab,0.26555555555555554,5,0.25,588.6398,27.7668,0.593968,0.1846,0.2512,0.2803,0.3293,0.3794,0.4448,0.5575,0.6676,0.7978,layer_15,last
415B,Arabic,belebele,belebele_arb_Arab,0.2822222222222222,5,0.25,590.2566,27.7294,0.593519,0.1848,0.2509,0.2798,0.3286,0.3786,0.4439,0.5567,0.6669,0.7973,layer_15,last
426B,Arabic,belebele,belebele_arb_Arab,0.27444444444444444,5,0.25,599.0635,28.549,0.593346,0.1819,0.2484,0.2776,0.3267,0.377,0.4426,0.5556,0.6661,0.7967,layer_15,last
436B,Arabic,belebele,belebele_arb_Arab,0.2633333333333333,5,0.25,581.0203,27.239,0.594425,0.1864,0.2532,0.2822,0.3312,0.3813,0.4466,0.5592,0.6689,0.7987,layer_15,last
447B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,587.564,27.673,0.594271,0.1849,0.2514,0.2804,0.3296,0.3796,0.445,0.5577,0.6678,0.7979,layer_15,last
457B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,587.7947,27.7533,0.594466,0.1846,0.2514,0.2804,0.3295,0.3797,0.4451,0.5578,0.6679,0.798,layer_15,last
468B,Arabic,belebele,belebele_arb_Arab,0.27666666666666667,5,0.25,591.8894,28.2256,0.595006,0.1829,0.2501,0.2793,0.3287,0.379,0.4446,0.5576,0.6679,0.7981,layer_15,last
478B,Arabic,belebele,belebele_arb_Arab,0.2788888888888889,5,0.25,590.699,28.245,0.595605,0.1828,0.2502,0.2796,0.3291,0.3795,0.4453,0.5582,0.6684,0.7985,layer_15,last
489B,Arabic,belebele,belebele_arb_Arab,0.28444444444444444,5,0.25,589.9939,28.2355,0.595662,0.1828,0.2505,0.2797,0.3293,0.3798,0.4456,0.5585,0.6686,0.7986,layer_15,last
499B,Arabic,belebele,belebele_arb_Arab,0.29333333333333333,5,0.25,592.6104,28.4221,0.595724,0.1822,0.2499,0.2792,0.3286,0.379,0.4448,0.5578,0.6681,0.7984,layer_15,last
510B,Arabic,belebele,belebele_arb_Arab,0.28,5,0.25,586.6983,28.1524,0.596622,0.183,0.2514,0.2807,0.3302,0.3807,0.4465,0.5595,0.6696,0.7994,layer_15,last
520B,Arabic,belebele,belebele_arb_Arab,0.2788888888888889,5,0.25,584.1001,27.8673,0.596321,0.184,0.2522,0.2815,0.3308,0.3812,0.4468,0.5596,0.6696,0.7994,layer_15,last
