checkpoint,dataset,layer,aggregation,rankme,pr,alpha_req,top_1_var,top_5_var,top_10_var,top_25_var,top_50_var,top_100_var,top_250_var,top_500_var,top_1000_var
10B,English,layer_0,last,166.115,25.7605,1.292614,0.1808,0.2926,0.3522,0.4673,0.582,0.7165,0.8752,0.9527,0.9865
10B,English,layer_1,last,219.4165,28.309,1.073115,0.1747,0.2717,0.3238,0.4278,0.5334,0.6613,0.8249,0.9184,0.9708
10B,English,layer_2,last,237.0938,30.2344,0.991134,0.1671,0.2706,0.3287,0.431,0.5319,0.6533,0.8092,0.9021,0.9603
10B,English,layer_3,last,201.0127,24.8923,0.944706,0.1661,0.3306,0.3832,0.4751,0.5637,0.6703,0.8089,0.8951,0.9544
10B,English,layer_4,last,174.592,19.1474,0.915463,0.1933,0.3675,0.4169,0.5025,0.583,0.6799,0.8076,0.8897,0.9502
10B,English,layer_5,last,185.1447,19.2221,0.891167,0.1973,0.3627,0.4128,0.4979,0.576,0.6696,0.7948,0.8784,0.9435
10B,English,layer_6,last,207.4846,21.2771,0.873964,0.1881,0.3476,0.3995,0.4839,0.5617,0.6546,0.7804,0.8666,0.9369
10B,English,layer_7,last,248.6405,25.2129,0.854814,0.1751,0.3187,0.3708,0.4567,0.5355,0.6291,0.7602,0.8518,0.9285
10B,English,layer_8,last,281.3967,28.1237,0.836989,0.1676,0.3002,0.3537,0.4398,0.5176,0.6102,0.743,0.8386,0.9208
10B,English,layer_9,last,318.7294,31.1347,0.818709,0.1617,0.2805,0.3345,0.4209,0.4973,0.5896,0.7261,0.8257,0.913
10B,English,layer_10,last,346.9329,34.1962,0.802914,0.1546,0.2667,0.3199,0.4071,0.4851,0.5781,0.7168,0.8174,0.9072
10B,English,layer_11,last,368.5841,34.1344,0.782952,0.1566,0.2622,0.3145,0.4008,0.4755,0.5642,0.7011,0.8047,0.899
10B,English,layer_12,last,390.6196,36.1077,0.771437,0.1526,0.2534,0.304,0.39,0.4656,0.5556,0.6943,0.7989,0.8947
10B,English,layer_13,last,418.4351,39.0617,0.759206,0.146,0.2449,0.2958,0.3817,0.456,0.5443,0.6825,0.7893,0.8885
10B,English,layer_14,last,448.6301,43.2603,0.742683,0.1364,0.2399,0.2925,0.3776,0.449,0.533,0.6678,0.7766,0.8803
10B,English,layer_15,last,479.1883,49.0568,0.734639,0.126,0.2295,0.2824,0.3689,0.4409,0.525,0.6597,0.7699,0.8758
